,user_id,gender,age,occupation,zip_code,user_info
0,1,Female,Under 18,K-12 student,48067,"
    Age: Under 18
    Gender: Female
    Occupation: K-12 student
    "
1,2,Male,56+,self-employed,70072,"
    Age: 56+
    Gender: Male
    Occupation: self-employed
    "
2,3,Male,25-34,scientist,55117,"
    Age: 25-34
    Gender: Male
    Occupation: scientist
    "
3,4,Male,45-49,executive/managerial,02460,"
    Age: 45-49
    Gender: Male
    Occupation: executive/managerial
    "
4,5,Male,25-34,writer,55455,"
    Age: 25-34
    Gender: Male
    Occupation: writer
    "
5,6,Female,50-55,homemaker,55117,"
    Age: 50-55
    Gender: Female
    Occupation: homemaker
    "
6,7,Male,35-44,academic/educator,06810,"
    Age: 35-44
    Gender: Male
    Occupation: academic/educator
    "
7,8,Male,25-34,programmer,11413,"
    Age: 25-34
    Gender: Male
    Occupation: programmer
    "
8,9,Male,25-34,technician/engineer,61614,"
    Age: 25-34
    Gender: Male
    Occupation: technician/engineer
    "
9,10,Female,35-44,academic/educator,95370,"
    Age: 35-44
    Gender: Female
    Occupation: academic/educator
    "
10,11,Female,25-34,academic/educator,04093,"
    Age: 25-34
    Gender: Female
    Occupation: academic/educator
    "
11,12,Male,25-34,programmer,32793,"
    Age: 25-34
    Gender: Male
    Occupation: programmer
    "
12,13,Male,45-49,academic/educator,93304,"
    Age: 45-49
    Gender: Male
    Occupation: academic/educator
    "
13,14,Male,35-44,other or not specified,60126,"
    Age: 35-44
    Gender: Male
    Occupation: other or not specified
    "
14,15,Male,25-34,executive/managerial,22903,"
    Age: 25-34
    Gender: Male
    Occupation: executive/managerial
    "
15,16,Female,35-44,other or not specified,20670,"
    Age: 35-44
    Gender: Female
    Occupation: other or not specified
    "
16,17,Male,50-55,academic/educator,95350,"
    Age: 50-55
    Gender: Male
    Occupation: academic/educator
    "
17,18,Female,18-24,clerical/admin,95825,"
    Age: 18-24
    Gender: Female
    Occupation: clerical/admin
    "
18,19,Male,Under 18,K-12 student,48073,"
    Age: Under 18
    Gender: Male
    Occupation: K-12 student
    "
19,20,Male,25-34,sales/marketing,55113,"
    Age: 25-34
    Gender: Male
    Occupation: sales/marketing
    "
20,21,Male,18-24,self-employed,99353,"
    Age: 18-24
    Gender: Male
    Occupation: self-employed
    "
21,22,Male,18-24,scientist,53706,"
    Age: 18-24
    Gender: Male
    Occupation: scientist
    "
22,23,Male,35-44,other or not specified,90049,"
    Age: 35-44
    Gender: Male
    Occupation: other or not specified
    "
23,24,Female,25-34,executive/managerial,10023,"
    Age: 25-34
    Gender: Female
    Occupation: executive/managerial
    "
24,25,Male,18-24,college/grad student,01609,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
25,26,Male,25-34,executive/managerial,23112,"
    Age: 25-34
    Gender: Male
    Occupation: executive/managerial
    "
26,27,Male,25-34,lawyer,19130,"
    Age: 25-34
    Gender: Male
    Occupation: lawyer
    "
27,28,Female,25-34,academic/educator,14607,"
    Age: 25-34
    Gender: Female
    Occupation: academic/educator
    "
28,29,Male,35-44,executive/managerial,33407,"
    Age: 35-44
    Gender: Male
    Occupation: executive/managerial
    "
29,30,Female,35-44,executive/managerial,19143,"
    Age: 35-44
    Gender: Female
    Occupation: executive/managerial
    "
30,31,Male,56+,executive/managerial,06840,"
    Age: 56+
    Gender: Male
    Occupation: executive/managerial
    "
31,32,Female,25-34,other or not specified,19355,"
    Age: 25-34
    Gender: Female
    Occupation: other or not specified
    "
32,33,Male,45-49,clerical/admin,55421,"
    Age: 45-49
    Gender: Male
    Occupation: clerical/admin
    "
33,34,Female,18-24,other or not specified,02135,"
    Age: 18-24
    Gender: Female
    Occupation: other or not specified
    "
34,35,Male,45-49,academic/educator,02482,"
    Age: 45-49
    Gender: Male
    Occupation: academic/educator
    "
35,36,Male,25-34,clerical/admin,94123,"
    Age: 25-34
    Gender: Male
    Occupation: clerical/admin
    "
36,37,Female,25-34,homemaker,66212,"
    Age: 25-34
    Gender: Female
    Occupation: homemaker
    "
37,38,Female,18-24,college/grad student,02215,"
    Age: 18-24
    Gender: Female
    Occupation: college/grad student
    "
38,39,Male,18-24,college/grad student,61820,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
39,40,Male,45-49,other or not specified,10543,"
    Age: 45-49
    Gender: Male
    Occupation: other or not specified
    "
40,41,Female,18-24,college/grad student,15116,"
    Age: 18-24
    Gender: Female
    Occupation: college/grad student
    "
41,42,Male,25-34,farmer,24502,"
    Age: 25-34
    Gender: Male
    Occupation: farmer
    "
42,43,Male,25-34,programmer,60614,"
    Age: 25-34
    Gender: Male
    Occupation: programmer
    "
43,44,Male,45-49,technician/engineer,98052,"
    Age: 45-49
    Gender: Male
    Occupation: technician/engineer
    "
44,45,Female,45-49,self-employed,94110,"
    Age: 45-49
    Gender: Female
    Occupation: self-employed
    "
45,46,Male,18-24,unemployed,75602,"
    Age: 18-24
    Gender: Male
    Occupation: unemployed
    "
46,47,Male,18-24,college/grad student,94305,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
47,48,Male,25-34,college/grad student,92107,"
    Age: 25-34
    Gender: Male
    Occupation: college/grad student
    "
48,49,Male,18-24,programmer,77084,"
    Age: 18-24
    Gender: Male
    Occupation: programmer
    "
49,50,Female,25-34,artist,98133,"
    Age: 25-34
    Gender: Female
    Occupation: artist
    "
50,51,Female,Under 18,K-12 student,10562,"
    Age: Under 18
    Gender: Female
    Occupation: K-12 student
    "
51,52,Male,18-24,college/grad student,72212,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
52,53,Male,25-34,other or not specified,96931,"
    Age: 25-34
    Gender: Male
    Occupation: other or not specified
    "
53,54,Male,50-55,academic/educator,56723,"
    Age: 50-55
    Gender: Male
    Occupation: academic/educator
    "
54,55,Female,35-44,programmer,55303,"
    Age: 35-44
    Gender: Female
    Occupation: programmer
    "
55,56,Male,35-44,writer,60440,"
    Age: 35-44
    Gender: Male
    Occupation: writer
    "
56,57,Male,18-24,unemployed,30350,"
    Age: 18-24
    Gender: Male
    Occupation: unemployed
    "
57,58,Male,25-34,artist,30303,"
    Age: 25-34
    Gender: Male
    Occupation: artist
    "
58,59,Female,50-55,academic/educator,55413,"
    Age: 50-55
    Gender: Female
    Occupation: academic/educator
    "
59,60,Male,50-55,academic/educator,72118,"
    Age: 50-55
    Gender: Male
    Occupation: academic/educator
    "
60,61,Male,25-34,technician/engineer,95122,"
    Age: 25-34
    Gender: Male
    Occupation: technician/engineer
    "
61,62,Female,35-44,clerical/admin,98105,"
    Age: 35-44
    Gender: Female
    Occupation: clerical/admin
    "
62,63,Male,18-24,college/grad student,54902,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
63,64,Male,18-24,academic/educator,53706,"
    Age: 18-24
    Gender: Male
    Occupation: academic/educator
    "
64,65,Male,35-44,programmer,55803,"
    Age: 35-44
    Gender: Male
    Occupation: programmer
    "
65,66,Male,25-34,tradesman/craftsman,57706,"
    Age: 25-34
    Gender: Male
    Occupation: tradesman/craftsman
    "
66,67,Female,50-55,customer service,60181,"
    Age: 50-55
    Gender: Female
    Occupation: customer service
    "
67,68,Male,18-24,college/grad student,53706,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
68,69,Female,25-34,academic/educator,02143,"
    Age: 25-34
    Gender: Female
    Occupation: academic/educator
    "
69,70,Male,18-24,college/grad student,53703,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
70,71,Male,25-34,sales/marketing,95008,"
    Age: 25-34
    Gender: Male
    Occupation: sales/marketing
    "
71,72,Female,45-49,other or not specified,55122,"
    Age: 45-49
    Gender: Female
    Occupation: other or not specified
    "
72,73,Male,18-24,college/grad student,53706,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
73,74,Male,35-44,sales/marketing,94530,"
    Age: 35-44
    Gender: Male
    Occupation: sales/marketing
    "
74,75,Female,Under 18,K-12 student,01748,"
    Age: Under 18
    Gender: Female
    Occupation: K-12 student
    "
75,76,Male,35-44,executive/managerial,55413,"
    Age: 35-44
    Gender: Male
    Occupation: executive/managerial
    "
76,77,Male,18-24,college/grad student,15321,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
77,78,Female,45-49,academic/educator,98029,"
    Age: 45-49
    Gender: Female
    Occupation: academic/educator
    "
78,79,Female,45-49,other or not specified,98103,"
    Age: 45-49
    Gender: Female
    Occupation: other or not specified
    "
79,80,Male,56+,academic/educator,49327,"
    Age: 56+
    Gender: Male
    Occupation: academic/educator
    "
80,81,Female,25-34,other or not specified,60640,"
    Age: 25-34
    Gender: Female
    Occupation: other or not specified
    "
81,82,Male,25-34,technician/engineer,48380,"
    Age: 25-34
    Gender: Male
    Occupation: technician/engineer
    "
82,83,Female,25-34,artist,94609,"
    Age: 25-34
    Gender: Female
    Occupation: artist
    "
83,84,Male,18-24,college/grad student,53140,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
84,85,Male,18-24,college/grad student,94945,"
    Age: 18-24
    Gender: Male
    Occupation: college/grad student
    "
85,86,Female,Under 18,K-12 student,54467,"
    Age: Under 18
    Gender: Female
    Occupation: K-12 student
    "
86,87,Male,25-34,sales/marketing,48360,"
    Age: 25-34
    Gender: Male
    Occupation: sales/marketing
    "
87,88,Female,45-49,academic/educator,02476,"
    Age: 45-49
    Gender: Female
    Occupation: academic/educator
    "
88,89,Female,56+,homemaker,85749,"
    Age: 56+
    Gender: Female
    Occupation: homemaker
    "
89,90,Male,56+,retired,85749,"
    Age: 56+
    Gender: Male
    Occupation: retired
    "
90,91,Male,35-44,executive/managerial,07650,"
    Age: 35-44
    Gender: Male
    Occupation: executive/managerial
    "
91,92,Female,18-24,college/grad student,44243,"
    Age: 18-24
    Gender: Female
    Occupation: college/grad student
    "
92,93,Male,25-34,technician/engineer,95825,"
    Age: 25-34
    Gender: Male
    Occupation: technician/engineer
    "
93,94,Male,25-34,technician/engineer,28601,"
    Age: 25-34
    Gender: Male
    Occupation: technician/engineer
    "
94,95,Male,45-49,other or not specified,98201,"
    Age: 45-49
    Gender: Male
    Occupation: other or not specified
    "
95,96,Female,25-34,self-employed,78028,"
    Age: 25-34
    Gender: Female
    Occupation: self-employed
    "
96,97,Female,35-44,clerical/admin,66210,"
    Age: 35-44
    Gender: Female
    Occupation: clerical/admin
    "
97,98,Female,35-44,executive/managerial,33547,"
    Age: 35-44
    Gender: Female
    Occupation: executive/managerial
    "
98,99,Female,Under 18,K-12 student,19390,"
    Age: Under 18
    Gender: Female
    Occupation: K-12 student
    "
99,100,Male,35-44,technician/engineer,95401,"
    Age: 35-44
    Gender: Male
    Occupation: technician/engineer
    "
