movie_id,title,release_date,video_release_date,IMDb_URL,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date.1,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count,previous_info,movie_info
1,Toy Story (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",http://toystory.disney.com/toy-story,862,tt0114709,['US'],en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",263.629,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",30/10/1995,394436586,81,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Hang on for the comedy that goes to infinity and beyond!,FALSE,7.973,17828,"
    Movie title: Toy Story (1995) 
    Genre: Animation, Children, Comedy
    Overview: Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences. 
    ","# Toy Story

## Overview
Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.

## Attributes
- **Genre**: Animation, Children, Comedy
- **Tags**: Friendship, Adventure, Family, Toys, Imagination, Pixar, Classic

## Description
""Toy Story"" is a groundbreaking animated film that explores the secret life of toys when humans are not around. The story follows Woody, a pull-string cowboy doll, who feels threatened by the arrival of Buzz Lightyear, a flashy space ranger action figure. As they embark on an adventurous journey to return to their owner, Andy, they discover the values of friendship, loyalty, and acceptance, making it a timeless tale beloved by audiences of all ages.

## Dislikes:
Horror, Drama, Thriller, Violence, Realism, Live-action"
2,GoldenEye (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,/5jVWJiPpmk216Q7vjjlwNXXE6ee.jpg,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/ofwSiqOFShhunAIYYdSMHMJQSx2.jpg', 'backdrop_path': '/rggeBvlUAww5ggjpjJ8fWbbdA0s.jpg'}",58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",https://www.mgm.com/movies/goldeneye,710,tt0113189,['GB'],en,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",74.29,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"[{'id': 7576, 'logo_path': '/oYcUi1byZ312Z3xiz5ojz9RQLND.png', 'name': 'EON Productions', 'origin_country': 'GB'}, {'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",16/11/1995,352200000,130,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,No limits. No fears. No substitutes.,FALSE,6.892,3704,"
    Movie title: GoldenEye (1995) 
    Genre: Action, Adventure, Thriller
    Overview: When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon 
    ","# GoldenEye

## Overview
When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.

## Attributes
- **Genre**: Action, Adventure, Thriller
- **Tags**: Espionage, Spy, Cold War, High-stakes, Technology, Assassins, Iconic Characters

## Description
""GoldenEye"" marks a significant return for the James Bond franchise, introducing Pierce Brosnan as the iconic British secret agent. The film combines thrilling action sequences with a complex plot that revolves around betrayal and the struggle for power in the post-Cold War era. As Bond races against time, he not only has to thwart Trevelyan's plans but also confront his own past, culminating in a high-stakes showdown that showcases both his cunning and charm.

## Dislikes:
Horror, Romance, Comedy, Drama, Musical"
3,Four Rooms (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,/f2t4JbUvQIjUF5FstG1zZFAp02N.jpg,,4000000,"[{'id': 35, 'name': 'Comedy'}]",https://www.miramax.com/movie/four-rooms/,5,tt0113101,['US'],en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,49.179,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 59, 'logo_path': '/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png', 'name': 'A Band Apart', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",09/12/1995,4257354,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",FALSE,5.824,2556,"
    Movie title: Four Rooms (1995) 
    Genre: Thriller
    Overview: It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another. 
    ","# Four Rooms

## Overview
It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another. 

## Attributes
- **Genre**: Thriller, Comedy, Anthology
- **Tags**: Dark Comedy, Hotel, Anthology Film, Surreal, Quirky Characters, Ensemble Cast

## Description
""Four Rooms"" is a unique anthology film consisting of four separate stories, all set in a single hotel over the course of one night. Each segment is directed by a different filmmaker—Alfonso Cuarón, Mike Figgis, and Quentin Tarantino—bringing their distinct styles to the narrative. The film follows Ted, a hapless bellhop played by Tim Roth, as he encounters a variety of eccentric guests, leading to a series of unexpected and often absurd situations that explore themes of chaos, morality, and the absurdity of human behavior.

## Dislikes:
- Action
- Romance
- Drama
- Animation
- Family"
4,Get Shorty (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,/wiZT8DVmAZNwmqd8G3QjWZ1mpLB.jpg,"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/klwDyihoCqOZ19lMwtlaaSCGH2w.jpg', 'backdrop_path': '/6KEpKs5asAqOwEr9XrOZJSMHW7O.jpg'}",30250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,8012,tt0113161,['US'],en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",38.092,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 216, 'logo_path': '/iKPzC6YxqNAk6fMoTtFhIF5p6yw.png', 'name': 'Jersey Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",20/10/1995,115101622,105,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Attitude plays a part.,FALSE,6.463,985,"
    Movie title: Get Shorty (1995) 
    Genre: Action, Comedy, Drama
    Overview: Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different. 
    ","# Get Shorty

## Overview
Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.

## Attributes
- **Genre**: Action, Comedy, Drama
- **Tags**: Mobster, Hollywood, Crime, Romance, Satire, Adaptation

## Description
""Get Shorty"" is a clever blend of crime and comedy that follows Chili Palmer, a Miami mobster, as he navigates the absurdities of Hollywood while attempting to collect a debt. The film satirizes the film industry, showcasing the similarities between the worlds of organized crime and movie production, all while delivering sharp wit and memorable performances, particularly from John Travolta as Chili and Gene Hackman as the hapless producer.

## Dislikes:
Horror, Thriller, Musical, Fantasy, Sci-Fi"
5,Copycat (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Copycat%20(1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,FALSE,/f0wTYitK1lELuGygXslG7SQpY0E.jpg,,20000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",,1710,tt0112722,['US'],en,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,39.849,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,"[{'id': 10104, 'logo_path': '/wRn5HnYMGeJHmItRypgOZOC6gwY.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",27/10/1995,32000000,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",FALSE,6.501,902,"
    Movie title: Copycat (1995) 
    Genre: Crime, Drama, Thriller
    Overview: An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past. 
    ","# Copycat

## Overview
An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.

## Attributes
- **Genre**: Crime, Drama, Thriller
- **Tags**: Serial Killer, Psychological Thriller, Agoraphobia, Investigation, Teamwork

## Description
""Copycat"" follows Dr. Helen Hudson, a psychologist who is agoraphobic and has become a recluse after surviving an attack by a serial killer. When a new killer emerges, mimicking infamous murderers, she teams up with detective M.J. Monahan to unravel the mystery and confront her own fears. The film explores themes of trauma, fear, and the psychological impact of crime, while delivering a suspenseful narrative filled with twists and turns.

## Dislikes:
Romantic Comedy, Fantasy, Sci-Fi, Family, Animation"
7,Twelve Monkeys (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,FALSE,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,,29000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,63,tt0114746,['US'],en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",108.009,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 507, 'logo_path': '/aRmHe6GWxYMRCQljF75rn2B9Gv8.png', 'name': 'Atlas Entertainment', 'origin_country': 'US'}, {'id': 17031, 'logo_path': None, 'name': 'Classico', 'origin_country': ''}, {'id': 207976, 'logo_path': None, 'name': 'Twelve Monkeys Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",29/12/1995,168841459,129,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,The future is history.,FALSE,7.602,8032,"
    Movie title: Twelve Monkeys (1995) 
    Genre: Drama, Sci-Fi
    Overview: In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease. 
    ","# Twelve Monkeys

## Overview
In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.

## Attributes
- **Genre**: Drama, Sci-Fi, Thriller
- **Tags**: Time Travel, Dystopia, Psychological, Virus Outbreak, Mental Illness

## Description
""Twelve Monkeys"" offers a thought-provoking exploration of time travel and the human psyche, as convict James Cole navigates a complex narrative filled with twists and turns. The film delves into themes of fate, memory, and the impact of a devastating virus on society, while intertwining the lives of its characters in a gripping plot that raises questions about sanity and reality. Directed by Terry Gilliam, the film is known for its unique visual style and compelling performances, particularly by Bruce Willis, Madeleine Stowe, and Brad Pitt.

## Dislikes:
Action, Comedy, Romance, Fantasy, Family, Adventure"
8,Babe (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Babe%20(1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,/agkZziO4ZPAsVfKUrJD68lys08P.jpg,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/mpR2iVU0huu4Pe2hnSMEDbCqoWt.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,9598,tt0112431,"['AU', 'US', 'GB']",en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",43.669,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 2537, 'logo_path': None, 'name': 'Kennedy Miller Productions', 'origin_country': 'AU'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",18/07/1995,254100000,91,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A little pig goes a long way.,FALSE,6.218,2777,"
    Movie title: Babe (1995) 
    Genre: Children, Comedy, Drama
    Overview: Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be. 
    ","# Babe

## Overview
Babe is a heartwarming tale about a little pig who embarks on a journey of self-discovery, finding his place in a world filled with quirky friends and the challenges of farm life.

## Attributes
- **Genre**: Children, Comedy, Drama
- **Tags**: Animals, Friendship, Adventure, Family, Inspirational

## Description
In ""Babe,"" a young pig named Babe is raised by a kind farmer and quickly learns that he has a unique talent for herding sheep, despite being a pig. With the support of his unconventional animal friends, including Ferdinand the duck and Fly the dog, Babe sets out to prove that anyone, regardless of their background, can achieve greatness. The film beautifully highlights themes of acceptance, determination, and the bonds of friendship in a charming rural setting.

## Dislikes:
- Horror
- Violence
- Adult Themes
- Mystery
- Thriller"
9,Dead Man Walking (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,/ka6np2LONtAElZOVeebb3mwSTBs.jpg,,11000000,"[{'id': 18, 'name': 'Drama'}]",,687,tt0112818,"['US', 'GB']",en,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,44.454,/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,"[{'id': 406, 'logo_path': None, 'name': 'Havoc', 'origin_country': ''}, {'id': 1382, 'logo_path': '/8b5XGJ8YhZoEo9LgFP8KRQWHjYL.png', 'name': 'PolyGram Filmed Entertainment', 'origin_country': 'US'}, {'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",29/12/1995,39363635,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,FALSE,7.325,1292,"
    Movie title: Dead Man Walking (1995) 
    Genre: Drama
    Overview: A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple. 
    ","# Dead Man Walking

## Overview
A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.

## Attributes
- **Genre**: Drama, Crime, Thriller
- **Tags**: Death penalty, Spirituality, Redemption, Faith, Moral dilemmas, Injustice

## Description
""Dead Man Walking"" is a poignant exploration of morality, justice, and redemption, focusing on the relationship between Sister Helen Prejean and Matthew Poncelet, a death row inmate. As Sister Helen offers him spiritual support, the film delves into the complexities of his crimes, the impact on the victims' families, and the broader implications of capital punishment. Through powerful performances, especially by Susan Sarandon and Sean Penn, the film raises challenging questions about forgiveness and the human capacity for change.

## Dislikes:
Action, Comedy, Fantasy, Sci-Fi, Horror"
10,Richard III (1995),22-Jan-96,,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FALSE,/l8gbqIvow8rXFblM5IzYI5AKN8Z.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,31174,tt0114279,"['US', 'GB']",en,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",14.697,/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,"[{'id': 34237, 'logo_path': None, 'name': 'Mayfair Entertainment International', 'origin_country': 'GB'}, {'id': 871, 'logo_path': None, 'name': 'British Screen', 'origin_country': 'GB'}, {'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 13534, 'logo_path': None, 'name': 'First Look Pictures', 'origin_country': 'US'}, {'id': 38025, 'logo_path': None, 'name': 'Bayly/Paré Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",29/12/1995,2748518,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"I can smile, and murder while I smile",FALSE,6.744,166,"
    Movie title: Richard III (1995) 
    Genre: Drama, War
    Overview: A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised. 
    ","# Richard III (1995)

## Overview
A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.

## Attributes
- **Genre**: Drama, War
- **Tags**: Shakespeare, Historical Adaptation, Political Intrigue, Tragedy, Fascism, Civil War

## Description
In this adaptation of Shakespeare's classic play, Richard III is reimagined in a 1930s setting, infusing the tale of ambition and betrayal with a modern political context. The film explores the psychological unraveling of Richard as he manipulates, deceives, and murders those in his path, revealing the dark and destructive nature of power. With a powerful performance by Ian McKellen in the titular role, the film captures the essence of Shakespeare's themes through a chilling portrayal of tyranny and madness.

## Dislikes:
- Comedy
- Romance
- Fantasy
- Sci-Fi
- Family"
11,Seven (Se7en) (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Se7en%20(1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,/iwgl8zlrrfvfWp9k9Paj8lvFEvS.jpg,,33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.sevenmovie.com/,807,tt0114369,['US'],en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",326.444,/6yoghtyTpznpBik8EngEmJskVUO.jpg,"[{'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 4286, 'logo_path': None, 'name': 'Juno Pix', 'origin_country': ''}, {'id': 65393, 'logo_path': None, 'name': 'Cecchi Gori Pictures', 'origin_country': 'IT'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",22/09/1995,327311859,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Seven deadly sins. Seven ways to die.,FALSE,8.373,20297,"
    Movie title: Seven (Se7en) (1995) 
    Genre: Crime, Thriller
    Overview: Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case. 
    ","# Seven (Se7en)

## Overview
Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.

## Attributes
- **Genre**: Crime, Thriller, Mystery, Drama
- **Tags**: Serial Killer, Detective, Dark, Psychological, Suspense, Gripping, Violent, Morality

## Description
""Seven"" is a chilling exploration of morality and the human psyche, where two detectives, played by Morgan Freeman and Brad Pitt, delve deep into the mind of a methodical serial killer. As they track down a murderer whose gruesome acts are inspired by the seven deadly sins—gluttony, greed, sloth, wrath, pride, lust, and envy—they confront not only the darkness of the crimes but also the darkest corners of their own souls. The film's haunting visuals and unsettling atmosphere are complemented by a memorable twist ending, making it a landmark in the thriller genre.

## Dislikes:
Romantic, Comedy, Light-hearted, Superhero, Family-friendly"
