user_id,user_profile
1,"## Overview
This user enjoys films that blend heartfelt human experiences with thoughtful explorations of identity, relationships, and societal roles. Their preferences include rich character dynamics, subtle humor, and reflective themes across everyday and speculative settings, with a notable appreciation for ethical dilemmas, justice, and unconventional storytelling. They tend to avoid overt action, horror, fantasy, supernatural elements, militaristic themes, and family-oriented or children’s sports comedies.

## Attributes
- **Genre**: Comedy, Romance, Biography, Drama, Sci-Fi, Thriller, Courtroom Drama, Animation, Sport, Crime  
- **Tags**: Friendship, Identity, Love, Neighborhood, Urban Life, Self-esteem, Determination, Innocence, Social Commentary, Art, Family, Genetic engineering, Subculture, Technology, Dystopia, Justice, Moral Dilemma, Dialogue-Driven, Tension, Stop-motion, Adventure, Heist, British Humor, Jury, Prejudice, Chess, Prodigy, Parenting, Competition, Childhood, Mentorship, Infidelity, Lesbian Relationships, Love Triangle, Family Dynamics, French Cinema, Death penalty, Spirituality, Redemption, Faith, Injustice

## Description
The user favors narratives that delve into personal and social identity, often highlighting the nuances of friendship, love, and self-discovery. Whether through charming romantic comedies, intense dramas exploring innocence and societal challenges, or compelling courtroom dramas and ethical quandaries, they appreciate films with quirky characters, heartfelt struggles, and moral complexity. Their taste embraces stop-motion animation with clever humor, biographical and sports stories centered on mentorship and competition, as well as stories probing justice, redemption, and spirituality. They avoid films that rely on heavy action, supernatural or fantasy elements, musicals, family or children’s sports themes, militaristic or war settings, and dark or violent thrillers.

## Dislikes:
- Violence  
- Horror  
- Action  
- Supernatural  
- Fantasy  
- Musical  
- Family  
- Military  
- Space Warfare  
- Alien Invasion  
- Satire (when tied to militarism/war)  
- Children’s Sports  
- Teen Drama with excessive sex and violence  
- Dark or psychological thrillers with overt superhero or circus elements  
- Family-friendly war comedies"
2,"## Overview
This user enjoys a diverse range of films that combine heartfelt drama, gripping real-life challenges, and character-driven stories with a strong appreciation for crime, mystery, and morally complex narratives. They prefer stories that explore personal growth, family bonds, resilience, and the darker facets of human nature, often set against both intimate and high-stakes backdrops, while avoiding overt comedy, fantasy, and family-oriented films.

## Attributes
- **Genre**: Drama, Romance, Adventure, Legal Thriller, Action, Thriller, Crime, Film-Noir, Mystery, War  
- **Tags**: Coming-of-age, Parent-child relationship, Nature, Friendship, Therapy, Self-discovery, Law, Courtroom Drama, Ethics, Inspiration, Heroism, Terrorism, Hijacking, Adaptation, Period Drama, British Literature, 1950s, Los Angeles, Police Corruption, Murder Investigation, Neo-Noir, Ensemble Cast, Identity, Adoption, Class, Racial Differences, Emotional Conflict, Betrayal, Love Triangle, Illness, Deception, Tragedy, Dark humor, Kidnapping, Investigation, Small-town, Minnesota, Unique characters, Morality tale, Mafia, Revenge, Loyalty, Power, Classic, 1970s, Shakespeare, Historical Adaptation, Political Intrigue, Fascism, Civil War

## Description
The user favors films that weave emotional depth with strong character development, from a young girl's nurturing journey with nature to intense legal battles and heroic acts of bravery, alongside morally complex crime dramas and character-driven mysteries. Their preferences highlight stories about overcoming adversity, moral courage, and the power of relationships—whether familial, romantic, or platonic—while appreciating narratives that blend heartwarming moments with thoughtful exploration of social dynamics and the darker undercurrents of society. They avoid films with overt comedy, family-centric themes, fantasy, or lighthearted romance, instead favoring serious, often tragic or morally ambiguous stories set in richly detailed historical and contemporary settings.

## Dislikes:
Comedy, Family, Fantasy, Science Fiction, Horror, Romance (except in drama/period context), Action (except legal or thriller contexts), Lighthearted or broad humor, Supernatural, Animation"
3,"## Overview
The user enjoys a diverse range of movies spanning epic space adventures, gripping true crime documentaries, psychological sci-fi thrillers, sharp political satires, intricate crime dramas, and character-driven dramas with complex personal and family dynamics. They appreciate stories with intense conflicts, moral complexity, and strong thematic elements involving justice, redemption, survival, and personal growth. They tend to avoid broad comedies, slapstick humor, overtly sentimental or formulaic family and romantic dramas, as well as conventional horror, creature features, musicals, and lighthearted pop culture fare.

## Attributes
- **Genre**: Action, Adventure, Romance, Sci-Fi, War, Documentary, Crime, True Crime, Mystery, Thriller, Drama, Satire, Biography
- **Tags**: Space Opera, Epic Battle, Friendship, Redemption, Good vs Evil, True Crime Documentary, Justice, Child Murders, Legal System, Miscarriage of Justice, Space Horror, Psychological Thriller, Supernatural, Survival, Exploration, Cosmic Horror, Political Satire, Media Manipulation, Dark Comedy, Conspiracy, Heist, Smuggling, Manipulation, Strong Female Lead, Adaptation, Family Dynamics, Drug Culture, Coming-of-Age, Fame, Suspense, Kidnapping, Father-Son Relationship, Medical Drama, Personal Growth, Mistaken Identity, International Intrigue, Faith, Spiritual Journey, Southern United States, Identity Crisis, Wrongful Conviction, Political Drama, Historical Events, Feminism, Military Training, Gender Equality, Determination, Leadership, Crime Syndicate, Moral Ambiguity, Drug Abuse, Corruption, Underworld, Antihero

## Description
This user gravitates toward narratives exploring profound themes of justice, survival, redemption, and personal growth amidst large-scale conflicts and intimate struggles. They appreciate intense psychological and supernatural elements, space operas featuring epic battles, and stories centered on manipulation and conspiracy in political or criminal spheres. Character-driven dramas that delve into complex family relationships, faith, and identity crises are favored, alongside darkly comedic and satirical takes on fame, addiction, and societal issues. They generally avoid broad slapstick and physical comedy, conventional horror and creature features, musicals, lighthearted pop culture, and overly sentimental or formulaic romantic and family films.

## Dislikes:
- Broad Comedy  
- Slapstick Humor  
- Horror (especially creature features and conventional slasher films)  
- Fantasy (except select psychological or cosmic sci-fi elements)  
- Conventional"
4,"## Overview
This user gravely appreciates intense, dark, and gripping narratives with elements of crime, mystery, and psychological depth, often exploring morality, identity, and suspense within complex, sometimes corrupt environments. They also enjoy action-packed thrillers with themes of espionage, heroism, and high-stakes conflicts, favoring realistic and dramatic portrayals over lighthearted, fantastical, or superhero stories.

## Attributes
- **Genre**: Crime, Thriller, Mystery, Drama, Psychological Horror, Action  
- **Tags**: Serial Killer, Detective, Dark, Psychological, Suspense, Gripping, Morality, Identity, Transformation, Conspiracy, Corruption, Law Enforcement, Redemption, Kidnapping, Father-Son Relationship, Action, Medical Drama, CIA, Espionage, Terrorism, Heroism, Hijacking, National Security

## Description
The user is drawn to films featuring morally complex characters navigating dark and suspenseful circumstances, often involving crime, corruption, espionage, and identity crises. They appreciate psychological thrillers with haunting atmospheres and gripping storylines that explore the human psyche, transformation, and redemption. Settings such as urban environments, small towns, hospitals, and high-stakes political or military arenas with a noir or realistic tone are preferred, along with narratives emphasizing suspense, emotional depth, and moral dilemmas. They specifically avoid superhero and dark fantasy themes, preferring grounded realism over comic adaptations and anti-hero supernatural elements.

## Dislikes:
Romantic, Comedy, Light-hearted, Superhero, Family-friendly, Horror, Fantasy, Science Fiction, Musical, Documentary, Dark Fantasy, Comic Adaptation, Demons, Anti-hero"
5,"## Overview
This user enjoys a diverse mix of clever crime capers, animated adventures, and intense action thrillers that balance humor, suspense, and heroism, with a new appreciation for classic fantasy musicals and family-friendly animation. They appreciate stories featuring intricate heists, friendship, daring rescues, magical quests, and timeless love tales, often set against unique, classic, or fantastical backdrops. However, they tend to dislike broad parody comedies, overtly sentimental dramas, and many conventional horror and thriller tropes—especially those involving demonic possession, family dysfunction, and supernatural horror—particularly when mixed with family or romantic elements.

## Attributes
- **Genre**: Comedy, Crime, Animation, Thriller, Action, Adventure, Family, Short Film, Musical, Children, Horror, Supernatural
- **Tags**: Heist, Friendship, Stop-motion, British Humor, Revenge, Con artist, Navy, Terrorism, Rescue, Heroism, Anthology, Cult Classic, Fantasy, Romance, Disney, Haunted house, Psychological horror, Mystery, Suspense, Classic, Nature Gone Wild, Possession, Exorcism, Demonic possession, Haunted objects, Shark, Survival

## Description
The user favors films that combine sharp wit and engaging plots, such as con artist revenge schemes and thrilling heists, alongside charming and inventive stop-motion animated tales featuring strong bonds and clever humor. They appreciate high-stakes action involving military heroism and intense hostage situations, now complemented by vibrant animated musicals depicting magical adventures and heartfelt romances. Additionally, they have an interest in suspenseful and psychological horror with classic and supernatural elements, but tend to avoid horror films centered on demonic possession, haunted family dramas, or supernatural evil that target familial relationships. Their preferences extend from family-friendly Disney fantasies and magical quests to intense survival thrillers involving nature’s dangers, while steering clear of overly sentimental or melodramatic storytelling and horror or thriller movies that blend unsettling tones with family or romantic themes.

## Dislikes:
- Sci-Fi  
- Drama  
- Documentary  
- Realism  
- Historical  
- Romantic Comedy  
- Parody  
- Satire  
- Spoof  
- Action-comedy  
- Horror focused on demonic possession or family dysfunction  
- Horror mixed with Romance or Family themes  
- Overly sentimental Drama  
- Broad Comedy  
- Thriller with family or romantic elements  
- Fantasy when tied to horror or romance  
- Violence in adult-themed contexts"
6,"## Overview
This user enjoys a diverse mix of films that blend humor, heartfelt drama, and unique settings, often featuring strong character development and witty storytelling. They appreciate movies that combine elements of comedy with deeper themes such as friendship, self-discovery, social commentary, and transformation within social or personal contexts, but tend to avoid high-action, thriller, supernatural, fantasy, and heavy family or slapstick comedies. They also generally dislike romance-driven dramas and action-heavy or espionage films.

## Attributes
- **Genre**: Drama, Romance, Comedy, Heist, Crime, Musical, British cinema, War
- **Tags**: Genius, Therapy, Friendship, Self-discovery, Coming-of-age, Diamonds, Betrayal, Love Triangle, British Comedy, Ensemble Cast, Family, Adventure, Overcoming Adversity, Band reunion, Road trip, Musical numbers, Classic comedy, Cult classic, Soul music, Rhythm and blues, Quirky, Satire, Fish-out-of-water, Small-town, Environmental themes, Adaptation, Transformation, Social Class, Love Story, Education, Political Comedy, Nostalgia, Cinema, Italian Film, Heartwarming, Romantic Comedy, Family Dynamics, Class Differences

## Description
The user favors films that explore complex personal and social journeys such as confronting demons, embracing uniqueness, navigating interpersonal relationships, and transforming identity or social status, often set against quirky or richly detailed backdrops. Their interests include ensemble casts delivering witty and physical comedy, stories highlighting music and band reunions, as well as narratives addressing political and social themes with a satirical or nostalgic touch. They prefer grounded or sophisticated storytelling even within comedic or musical contexts and tend to avoid films centered on high-stakes action, espionage, supernatural elements, or romance-driven drama.

## Dislikes:
Horror, Thriller, Violence, Supernatural, Sci-Fi, Action, Children, Animation, Fantasy, Slapstick, Heavy Family Comedy, Serious Drama, Documentary, Historical, Realism, Espionage, Suspense, High-Stakes, Romantic Drama"
7,"## Overview
The user prefers films that explore complex human emotions and societal structures through intense drama, psychological depth, and dark humor. They enjoy narratives centered on rebellion, moral dilemmas, and intricate plots often set against historical, institutional, or existential backdrops, including themes of science, philosophy, and political tension. They tend to avoid surreal, supernatural, or lighthearted tones, steering clear of movies with strong comedic, romantic, or fantastical elements.

## Attributes
- **Genre**: Drama, War, Psychological, Crime, Thriller, Dark Comedy, Satire, Teen, Biography, Mystery, Sci-Fi, Family, Fantasy
- **Tags**: Rebellion, Authority, Morality, Social Commentary, Friendship, Psychological Thriller, Murder, Military Ethics, Anti-war, Courtroom Drama, POW, Mystery, Heist, Plot Twist, Adaptation, Classic Film, Cult Classic, 1970s Cinema, British Cinema, French Cinema, Extraterrestrial, Science, Philosophy, Faith, Communication, Exploration, Space, Film Noir, American Cinema, Psychological Drama, Tragedy, Submarine, Nuclear Threat, Mutiny, Military, Tension, Leadership Conflict, Wrongful Conviction, Justice, Family, Political Drama, Historical Events, Dark humor, Sequel, Quirky characters, Family dynamics, Halloween

## Description
This user gravitates toward films that dissect the tensions between individual agency and oppressive systems, whether in high school cliques, mental institutions, warzones, or under political and existential pressure. They appreciate stories with psychological complexity, moral conflict, and darkly satirical tones that challenge societal norms. Their favorite movies often feature protagonists confronting authority, engaging in rebellion or subversion, navigating consequences amid intense suspense or tragic circumstances, and exploring profound philosophical and scientific questions, as well as historical injustices. They avoid films with strong supernatural, surreal, comedic, romantic, or overtly fantastical elements, preferring grounded narratives over escapist or humorous storytelling.

## Dislikes:
- Romance  
- Lighthearted Comedy  
- Horror  
- Action  
- Superhero  
- Surrealism  
- Family (in the comedic or lighthearted sense)  
- Fantasy (when strongly supernatural or magical)  
- Adventure  
- Comedy (broadly, especially slapstick, parody, or romantic comedy)  
- Supernatural  
- Slasher  
- Vampire  
- Exorcism  
- Possession  
- Urban Legend  
- Dream Horror"
8,"## Overview
This user enjoys intense, action-packed narratives often set against larger conflicts involving loyalty, betrayal, and survival. Their preferences lean toward stories with complex characters navigating war, political intrigue, and emotional journeys, frequently within historical, military, or sci-fi settings. They also appreciate sci-fi elements such as time travel, cybernetic threats, and interstellar conflict, along with suspenseful political dramas and thrilling adventure stories involving survival and technology. They tend to avoid fantasy or supernatural elements and prefer grounded, realistic storylines over comedic or family-oriented films.

## Attributes
- **Genre**: Action, Adventure, Drama, Thriller, Crime, War, Sci-Fi, Romance  
- **Tags**: Loyalty, Betrayal, Friendship, Survival, War, Military, Space Exploration, Native American, Political, Hostage Situation, Rescue, Terrorism, Noir, Corruption, Emotional Journey, Colonial America, Starfleet, Resurrection, Time Travel, Cybernetic Threat, Heroic Leadership, Interstellar Conflict, Suspense, Conspiracy, Heroism, Redemption, Dinosaurs, Theme Park, Technology, Futuristic, Cyborg, Dystopian, Action Hero, Artificial Intelligence, Space opera, Revenge, Exploration, Classic

## Description
The user is drawn to epic sagas and character-driven plots where themes of honor, sacrifice, and moral ambiguity are central. They appreciate narratives that explore the clash of cultures and complex interpersonal dynamics, from the war-torn frontiers of colonial America to the interstellar politics of space exploration and futuristic dystopias. Stories featuring heroic rescue missions, strategic combat, and intricate betrayals hold particular appeal, as do those that emphasize friendship and loyalty amidst hardship and conflict. They also enjoy thrilling suspense and political intrigue, as well as imaginative sci-fi elements like time travel, cyborg antagonists, and advanced technology. The user notably dislikes fantasy and supernatural genres, preferring more realistic or scientifically grounded stories, and tends to avoid comedy, family films, musicals, and lighthearted narratives.

## Dislikes:
- Comedy  
- Fantasy  
- Horror  
- Supernatural  
- Mystery  
- Family  
- Musical  
- Animation  
- Romantic Comedy  
- Dark Fantasy  
- Urban Fantasy  
- Slapstick Humor  
- Lightheartedness"
9,"## Overview
The user enjoys classic and emotionally rich stories often set against dramatic or historical backdrops, with a preference for romance, thriller, and adventure. They appreciate epic and psychologically complex narratives involving heroism, love, sacrifice, and moral ambiguity, blended with elements of suspense, humor, and supernatural intrigue. They tend to avoid overly spiritual or biographical dramas, as well as comedy and fantasy when these dominate the tone.

## Attributes
- **Genre**: Drama, Romance, Thriller, War, Action, Adventure, Comedy, Sci-Fi
- **Tags**: Classic, Love Story, World War II, Political Intrigue, Sacrifice, Friendship, Nostalgia, Space Opera, Epic, Hero's Journey, Cult Classic, Supernatural, Slasher, Dark Humor, Campy, Love, Forbidden Love, Heartfelt, Emotional, 1960s, Photography, Midwestern Life, Espionage, Nuclear Threat, Marriage Crisis, Humor, Action-Comedy, Time Travel, Dystopia, Psychological, Virus Outbreak, Mental Illness, Lying, Father-Son Relationship, Legal Drama, Wish Fulfillment, Alcoholism, Addiction, Tragedy, Las Vegas, Redemption, Emotional Turmoil, Conspiracy, Suspense, Hitchcock, Ghosts, Psychic, 90s Cinema, Mystery

## Description
This user favors films that combine heartfelt romance and emotional depth with high-stakes drama, suspense, and psychological complexity. They are drawn to stories featuring sacrifice, moral ambiguity, and political intrigue, whether set during World War II, dystopian futures, or in fantastical and supernatural realms. Their taste embraces cult classics with dark humor, gripping thrillers by Hitchcock, and emotional journeys involving addiction, redemption, and family dynamics. Nostalgia and timeless themes of love, friendship, heroism, and the human psyche are core to their preferences. They tend to avoid films with strong spiritual or biographical focus and prefer to limit exposure to comedy, fantasy, and science fiction when these overpower the narrative.

## Dislikes:
Horror, Documentary, Realism, Superhero, Family, Animation, Comedy, Science Fiction, Fantasy, Romance (when dominant or overly sentimental), Spirituality, Biography"
10,"## Overview
This user enjoys films that explore deep human relationships, emotional complexity, and personal identity, often set against rich social or familial backdrops. They appreciate stories with intense drama, nuanced psychological themes, and occasional elements of romance, comedy, and adventure, especially those highlighting family dynamics and personal growth.

## Attributes
- **Genre**: Drama, Family, Romance, Historical, Comedy, Crime, Adventure, Thriller, Road Movie  
- **Tags**: Family dynamics, Relationships, Friendship, Psychological, Infidelity, Coming-of-age, LGBTQ+, Adventure, Transformation, Sexuality, Tension, Communication, Revenge, Showdown, Underworld, Dysfunctional Relationships, Love Story, Adaptation, Holiday, Hostage, Dark Humor, Commitment, Marriage, Self-Discovery, Quirky, Absurdist Humor, Parenthood, Colonialism, Muteness, Music, Desire, Nature, Feminism, Love Triangle, Isolation, Heist

## Description
The user gravitates toward movies that delve into the intricacies of marriage, family, and self-discovery, often highlighting the tensions and unspoken truths shaping human connections. They appreciate narratives that explore personal struggles such as alcoholism, identity, and infidelity, as well as stories that celebrate friendship, resilience, and humor amidst adversity. Their taste embraces emotionally charged dramas, spirited adventures, and clever comedies that challenge societal norms, illuminate the power of transformation, and capture the complexity of love and commitment across diverse settings and times.

## Dislikes:
- Action  
- Horror  
- Science Fiction  
- Fantasy  
- Excessive Violence  
- Mystery  
- Some Thriller (depending on tone)"
