Recommender,K,Precision,Recall,NDCG,MAP,F1,ItemCoverage
Our Method,5,0.6,0.09090909090909091,0.6164336326286644,0.06363636363636364,0.15789473684210525,0.08928571428571429
Our Method,10,0.4444444444444444,0.12121212121212122,0.4662774717636409,0.0771043771043771,0.19047619047619047,0.16071428571428573
Our Method,20,0.5714285714285714,0.24242424242424243,0.45634102819533295,0.14377760286851196,0.3404255319148936,0.25
Our Method,30,0.631578947368421,0.36363636363636365,0.4556201557088391,0.21855608948910382,0.46153846153846156,0.3392857142857143
Our Method,40,0.6538461538461539,0.5151515151515151,0.538919396084904,0.31474570795144957,0.576271186440678,0.4642857142857143
Our Method,50,0.65625,0.6363636363636364,0.6223169799991298,0.3955313171019085,0.6461538461538462,0.5714285714285714
LightGCN,5,0.5,0.030303030303030304,0.3391602052736161,0.030303030303030304,0.05714285714285715,0.03571428571428571
LightGCN,10,0.3333333333333333,0.030303030303030304,0.22009176629808017,0.030303030303030304,0.05555555555555555,0.05357142857142857
LightGCN,20,0.5,0.09090909090909091,0.24758431068026024,0.05757575757575757,0.15384615384615385,0.10714285714285714
LightGCN,30,0.5555555555555556,0.15151515151515152,0.2575488724070879,0.08956228956228957,0.2380952380952381,0.16071428571428573
LightGCN,40,0.7142857142857143,0.30303030303030304,0.380920729465917,0.18985391712664443,0.42553191489361697,0.25
LightGCN,50,0.7368421052631579,0.42424242424242425,0.47991656303015967,0.28030486624632417,0.5384615384615385,0.3392857142857143
NGCF,5,0.4,0.06060606060606061,0.4703652827859579,0.04242424242424242,0.10526315789473685,0.08928571428571429
NGCF,10,0.625,0.15151515151515152,0.5264282969545138,0.09383116883116883,0.24390243902439024,0.14285714285714285
NGCF,20,0.5384615384615384,0.21212121212121213,0.4198046970412939,0.13035020535020536,0.30434782608695654,0.23214285714285715
NGCF,30,0.6,0.36363636363636365,0.45555772505804276,0.22257709610650786,0.4528301886792453,0.35714285714285715
NGCF,40,0.5,0.36363636363636365,0.4277844786654692,0.22257709610650786,0.4210526315789474,0.42857142857142855
NGCF,50,0.4827586206896552,0.42424242424242425,0.47066148906729993,0.25344129363737206,0.45161290322580644,0.5178571428571429
ALS,5,0.5,0.06060606060606061,0.5531464700081437,0.06060606060606061,0.10810810810810813,0.07142857142857142
ALS,10,0.4,0.06060606060606061,0.3589542101716347,0.06060606060606061,0.10526315789473685,0.08928571428571429
ALS,20,0.2857142857142857,0.06060606060606061,0.23165732683700077,0.06060606060606061,0.1,0.125
ALS,30,0.2857142857142857,0.06060606060606061,0.1780183732614503,0.06060606060606061,0.1,0.125
ALS,40,0.3,0.09090909090909091,0.19679369608150443,0.06969696969696969,0.13953488372093023,0.17857142857142858
ALS,50,0.3076923076923077,0.12121212121212122,0.22538451287105585,0.08071625344352618,0.17391304347826086,0.23214285714285715
GAT,5,1.0,0.030303030303030304,0.3391602052736161,0.030303030303030304,0.05882352941176471,0.017857142857142856
GAT,10,0.5,0.030303030303030304,0.22009176629808017,0.030303030303030304,0.05714285714285715,0.03571428571428571
GAT,20,0.6666666666666666,0.06060606060606061,0.21306005945048595,0.0505050505050505,0.1111111111111111,0.05357142857142857
GAT,30,0.8,0.12121212121212122,0.2529617273180024,0.09747474747474748,0.2105263157894737,0.08928571428571429
GAT,40,0.6666666666666666,0.12121212121212122,0.23753982138983767,0.09747474747474748,0.20512820512820512,0.10714285714285714
GAT,50,0.6666666666666666,0.18181818181818182,0.30256016336348207,0.13932178932178935,0.28571428571428575,0.16071428571428573
