Recommender,K,Precision,Recall,NDCG,MAP,ItemCoverage,Novelty
Our Method,5,0.7746810207336523,0.13508754138070095,0.5496646494346711,0.14947091272064375,0.12482269503546099,66.36343700159489
Our Method,10,0.7624133949191686,0.21468758529107265,0.5236253153620097,0.21081746414120417,0.18581560283687942,61.936522599802046
Our Method,20,0.748673711591165,0.32407545619127975,0.5286033552413646,0.2911139166919538,0.25886524822695034,57.32615939168266
Our Method,30,0.7267094068629658,0.4158213956883579,0.5566138759583427,0.3561782166307529,0.3127659574468085,54.293499248859824
Our Method,40,0.714205450632575,0.48343707041727924,0.5855259696909257,0.40684533035924086,0.3567375886524823,51.8892358082193
Our Method,50,0.6987306160330127,0.5293410691672578,0.603298982981525,0.43919379483184884,0.4,50.34725183670419
LightGCN,5,0.7205673758865246,0.09352180905475284,0.4654667072621492,0.1125681205189282,0.036170212765957444,83.85926418439716
LightGCN,10,0.691754637598011,0.15303740552892992,0.419167702631275,0.15658162647132787,0.06453900709219858,77.24528781793843
LightGCN,20,0.6878735978166476,0.24318147071001342,0.42880736032547473,0.21523632543173124,0.10141843971631205,70.46960330610622
LightGCN,30,0.6820458548123108,0.3175791765549233,0.4535795174036574,0.26310481226780735,0.12907801418439716,65.9407920944259
LightGCN,40,0.6809813453031498,0.3733270811114854,0.4803563026144374,0.30029913865622015,0.15390070921985816,62.824019293910695
LightGCN,50,0.6717915284775176,0.4233224998739898,0.5057472304408459,0.3359643190513508,0.17304964539007092,60.16479251317646
NGCF,5,0.7154732510288065,0.10158547483504486,0.49451172165522633,0.12079785135509905,0.12482269503546099,66.72358024691357
NGCF,10,0.7156391558943762,0.19140050758416655,0.4825927427074946,0.1841147991800751,0.17446808510638298,64.3453918535705
NGCF,20,0.7033259063660398,0.3064004473196714,0.4926894965701879,0.26008888982611134,0.22056737588652484,60.70643931592541
NGCF,30,0.6854425732126171,0.386571077900537,0.515806062739328,0.3132623021518603,0.25886524822695034,57.592982015281294
NGCF,40,0.6756221848947557,0.4518338492451656,0.5431382208192814,0.3596213184004135,0.28581560283687946,55.406116630310144
NGCF,50,0.6667378838989599,0.5008964488463532,0.5643727811980412,0.3908925558345497,0.3078014184397163,53.80890103822654
ALS,5,0.6980867346938775,0.09573185693336073,0.40933091576086916,0.11684741627326088,0.18865248226950354,56.44111394557824
ALS,10,0.6863277310924369,0.1628572476458799,0.39927326603124136,0.15853620370617177,0.2475177304964539,55.31299533146592
ALS,20,0.6838904497369318,0.26437532692650206,0.4228487186503415,0.22579538432602694,0.3177304964539007,53.81919917104366
ALS,30,0.673026151771821,0.3362377294365058,0.45367290348196415,0.27209179202381434,0.3638297872340426,51.62379622634169
ALS,40,0.6615126780726103,0.39107829623603413,0.4797612718462641,0.3110320638471584,0.39787234042553193,50.35903639874375
ALS,50,0.6600969205850645,0.44207760806399987,0.5073205184473469,0.34263504249557203,0.424822695035461,49.555395561824
GAT,5,0.7710227272727272,0.08863249317613699,0.48642178785636164,0.11939414374135247,0.1829787234042553,56.4936553030303
GAT,10,0.7508443508443509,0.14891915925315982,0.44241863158680056,0.16136350982326528,0.23829787234042554,54.55631215631216
GAT,20,0.7296611001649487,0.2408445206784679,0.44580430302256757,0.22952875593844788,0.3148936170212766,52.58683112493419
GAT,30,0.722320665651688,0.3238368986534757,0.4769724340098642,0.2848428671521546,0.3709219858156028,51.22660536749654
GAT,40,0.712060770375754,0.38592927903048274,0.5076538533390673,0.3313239130099355,0.4085106382978723,50.03096611833936
GAT,50,0.7093087823549435,0.44232090216864467,0.5356036915504959,0.36954571380297313,0.4326241134751773,49.44591383665892
