Recommender,K,Precision,Recall,NDCG,MAP,ItemCoverage,Novelty
Our Method,5,0.8666061293984109,0.10279264663188865,0.5208290378366001,0.14396795248383712,0.14992805755395683,399.50592130155127
Our Method,10,0.8452376175189178,0.16257950357316422,0.4630963284316397,0.19558519364112267,0.20690647482014388,373.4684889264695
Our Method,20,0.8233380706799471,0.2486637694610004,0.4625599428841467,0.2665327878170246,0.28776978417266186,344.9184017443384
Our Method,30,0.8032456162453505,0.31077784973544226,0.48450489492720666,0.3174800461352434,0.3355395683453237,326.62742412958625
Our Method,40,0.7928786685899184,0.36223393650291646,0.5110069007653097,0.35601706481179674,0.3726618705035971,314.38301854819485
Our Method,50,0.7845614681422777,0.4054496490429393,0.5364805566872872,0.38879950335749347,0.4014388489208633,304.49307873832663
LightGCN,5,0.7850830367734283,0.09947541412191391,0.47113713042620287,0.1396565969181234,0.15827338129496402,389.8167556346382
LightGCN,10,0.7692858858690227,0.15718622444841546,0.42406628632290283,0.18392770256655527,0.22158273381294963,368.21942081274335
LightGCN,20,0.7501973376234423,0.23851248937992695,0.42430956354268745,0.24490114410560362,0.29899280575539566,344.67854756683414
LightGCN,30,0.7400608684560497,0.2973040938650749,0.44884203192330485,0.2878834443386184,0.34043165467625897,328.2366322361703
LightGCN,40,0.7303139881566861,0.34456318214176773,0.4733939573677508,0.32273202667918705,0.3761151079136691,316.19139163434863
LightGCN,50,0.7229569803494568,0.38646153669866246,0.4991203055693395,0.35265611799094654,0.4074820143884892,306.5767800046038
NGCF,5,0.7506522047355735,0.10324941780885467,0.43835231012807496,0.14135557606668023,0.35827338129496406,298.0183184460513
NGCF,10,0.7432642463892464,0.17178642803389751,0.4126144770310377,0.19136711464098258,0.4333812949640288,295.30761334250917
NGCF,20,0.7301732466575577,0.2697975469163703,0.4351706539420999,0.26048614944442416,0.5058992805755396,289.16373106725814
NGCF,30,0.7214192717591908,0.3421473402960863,0.4714904945572668,0.31304878316791435,0.5464748201438849,282.4687326235624
NGCF,40,0.7149358755499297,0.39810308101878567,0.503980034940318,0.35139404580208,0.5732374100719424,277.2870664458714
NGCF,50,0.7074501300410199,0.44405320494605877,0.5319568936425089,0.3837051467264968,0.5939568345323741,272.55291904669855
ALS,5,0.7226487819919828,0.089724584343836,0.36914709077680896,0.14066207553674148,0.3692086330935252,232.98045405488747
ALS,10,0.7221758726505563,0.15512295355481734,0.3552240668522529,0.18141826095592525,0.45007194244604315,245.5116864851042
ALS,20,0.7177584852160233,0.25507692719702735,0.39709171081155553,0.2479815524343416,0.5125179856115107,255.5403047649349
ALS,30,0.7156869787307684,0.32995712571784297,0.44402389829545846,0.29730038532971387,0.5513669064748201,256.9761732420279
ALS,40,0.7092783510704448,0.38835043900071636,0.48217048736118007,0.33801044707558325,0.5798561151079137,256.94345167870364
ALS,50,0.7045815765486105,0.4342334615448527,0.5138312660389905,0.36977455548999927,0.6002877697841726,255.1681268665427
GAT,5,0.8357002225646294,0.07508982553351837,0.47989620327250815,0.12137261486402415,0.16776978417266186,385.44462848827254
GAT,10,0.8172836068222682,0.12422696406797741,0.41621471589523795,0.16285420821353774,0.2264748201438849,362.8465056674608
GAT,20,0.7960632096306114,0.1986877527879057,0.4104552277966197,0.22511701316418123,0.29697841726618707,338.66791230155866
GAT,30,0.7821412895039173,0.25285242587119944,0.42924901330180315,0.26738053126366756,0.3450359712230216,323.9483627097309
GAT,40,0.7724624995453541,0.2993853372151516,0.4530831665695978,0.3017446503207568,0.37841726618705035,313.2741161681674
GAT,50,0.7638633519536869,0.3393045330012443,0.4780619733907481,0.33232025667761633,0.4060431654676259,305.1889771604067
