,user_id,movie_id,recommendation_rank,module_source
0,1,100,1,VGCF
1,1,56,2,VGCF
2,1,475,3,VGCF
3,1,98,4,VGCF
4,1,276,5,VGCF
5,1,12,6,VGCF
6,1,318,7,VGCF
7,1,285,8,VGCF
8,1,64,9,VGCF
9,1,174,10,VGCF
10,1,70,11,VGCF
11,1,357,12,VGCF
12,1,23,13,VGCF
13,1,275,14,VGCF
14,1,14,15,VGCF
15,1,185,16,VGCF
16,1,286,17,VGCF
17,1,508,18,VGCF
18,1,151,19,VGCF
19,1,462,20,VGCF
20,1,514,21,VGCF
21,1,531,22,VGCF
22,1,129,23,VGCF
23,1,248,24,VGCF
24,1,170,25,VGCF
25,1,427,26,VGCF
26,1,603,27,VGCF
27,1,150,28,VGCF
28,1,408,29,VGCF
29,1,582,30,VGCF
30,1,479,31,VGCF
31,1,86,32,VGCF
32,1,47,33,VGCF
33,1,258,34,VGCF
34,1,509,35,VGCF
35,1,483,36,VGCF
36,1,134,37,VGCF
37,1,209,38,VGCF
38,1,919,39,VGCF
39,1,433,40,VGCF
40,1,60,41,VGCF
41,1,515,42,VGCF
42,1,69,43,VGCF
43,1,382,44,VGCF
44,1,221,45,VGCF
45,1,10,46,VGCF
46,1,652,47,VGCF
47,1,196,48,VGCF
48,1,709,49,VGCF
49,1,186,50,VGCF
50,2,313,1,VGCF
51,2,50,2,VGCF
52,2,319,3,VGCF
53,2,19,4,VGCF
54,2,9,5,VGCF
55,2,744,6,VGCF
56,2,301,7,VGCF
57,2,15,8,VGCF
58,2,126,9,VGCF
59,2,124,10,VGCF
60,2,116,11,VGCF
61,2,303,12,VGCF
62,2,268,13,VGCF
63,2,297,14,VGCF
64,2,690,15,VGCF
65,2,181,16,VGCF
66,2,936,17,VGCF
67,2,20,18,VGCF
68,2,328,19,VGCF
69,2,475,20,VGCF
70,2,471,21,VGCF
71,2,340,22,VGCF
72,2,740,23,VGCF
73,2,676,24,VGCF
74,2,1251,25,VGCF
75,2,321,26,VGCF
76,2,315,27,VGCF
77,2,508,28,VGCF
78,2,333,29,VGCF
79,2,459,30,VGCF
80,2,257,31,VGCF
81,2,292,32,VGCF
82,2,591,33,VGCF
83,2,248,34,VGCF
84,2,937,35,VGCF
85,2,515,36,VGCF
86,2,270,37,VGCF
87,2,137,38,VGCF
88,2,813,39,VGCF
89,2,245,40,VGCF
90,2,244,41,VGCF
91,2,845,42,VGCF
92,2,117,43,VGCF
93,2,748,44,VGCF
94,2,221,45,VGCF
95,2,312,46,VGCF
96,2,750,47,VGCF
97,2,13,48,VGCF
98,2,476,49,VGCF
99,2,125,50,VGCF
100,3,324,1,VGCF
101,3,299,2,VGCF
102,3,334,3,VGCF
103,3,327,4,VGCF
104,3,752,5,VGCF
105,3,887,6,VGCF
106,3,270,7,VGCF
107,3,331,8,VGCF
108,3,307,9,VGCF
109,3,286,10,VGCF
110,3,1434,11,VGCF
111,3,902,12,VGCF
112,3,313,13,VGCF
113,3,350,14,VGCF
114,3,315,15,VGCF
115,3,262,16,VGCF
116,3,1238,17,VGCF
117,3,269,18,VGCF
118,3,272,19,VGCF
119,3,345,20,VGCF
120,3,750,21,VGCF
