,user_id,movie_id,recommendation_rank,module_source
0,1,483,1,VGCF
1,1,174,2,VGCF
2,1,212,3,VGCF
3,1,275,4,VGCF
4,1,100,5,VGCF
5,1,462,6,VGCF
6,1,210,7,VGCF
7,1,511,8,VGCF
8,1,209,9,VGCF
9,1,12,10,VGCF
10,1,285,11,VGCF
11,1,213,12,VGCF
12,1,357,13,VGCF
13,1,20,14,VGCF
14,1,175,15,VGCF
15,1,96,16,VGCF
16,1,515,17,VGCF
17,1,170,18,VGCF
18,1,222,19,VGCF
19,1,430,20,VGCF
20,1,81,21,VGCF
21,1,528,22,VGCF
22,1,129,23,VGCF
23,1,1142,24,VGCF
24,1,318,25,VGCF
25,1,455,26,VGCF
26,1,639,27,VGCF
27,1,276,28,VGCF
28,1,98,29,VGCF
29,1,484,30,VGCF
30,1,258,31,VGCF
31,1,527,32,VGCF
32,1,61,33,VGCF
33,1,919,34,VGCF
34,1,64,35,VGCF
35,1,479,36,VGCF
36,1,134,37,VGCF
37,1,70,38,VGCF
38,1,496,39,VGCF
39,1,498,40,VGCF
40,1,14,41,VGCF
41,1,23,42,VGCF
42,1,202,43,VGCF
43,1,183,44,VGCF
44,1,1005,45,VGCF
45,1,512,46,VGCF
46,1,180,47,VGCF
47,1,427,48,VGCF
48,1,186,49,VGCF
49,1,435,50,VGCF
50,2,333,1,VGCF
51,2,313,2,VGCF
52,2,340,3,VGCF
53,2,301,4,VGCF
54,2,307,5,VGCF
55,2,845,6,VGCF
56,2,321,7,VGCF
57,2,15,8,VGCF
58,2,319,9,VGCF
59,2,471,10,VGCF
60,2,248,11,VGCF
61,2,137,12,VGCF
62,2,124,13,VGCF
63,2,744,14,VGCF
64,2,315,15,VGCF
65,2,126,16,VGCF
66,2,245,17,VGCF
67,2,292,18,VGCF
68,2,936,19,VGCF
69,2,676,20,VGCF
70,2,268,21,VGCF
71,2,9,22,VGCF
72,2,50,23,VGCF
73,2,591,24,VGCF
74,2,270,25,VGCF
75,2,847,26,VGCF
76,2,346,27,VGCF
77,2,316,28,VGCF
78,2,308,29,VGCF
79,2,322,30,VGCF
80,2,327,31,VGCF
81,2,328,32,VGCF
82,2,690,33,VGCF
83,2,740,34,VGCF
84,2,866,35,VGCF
85,2,303,36,VGCF
86,2,709,37,VGCF
87,2,748,38,VGCF
88,2,332,39,VGCF
89,2,750,40,VGCF
90,2,326,41,VGCF
91,2,751,42,VGCF
92,2,318,43,VGCF
93,2,312,44,VGCF
94,2,880,45,VGCF
95,2,534,46,VGCF
96,2,1226,47,VGCF
97,2,334,48,VGCF
98,2,937,49,VGCF
99,2,476,50,VGCF
100,3,887,1,VGCF
101,3,306,2,VGCF
102,3,272,3,VGCF
103,3,315,4,VGCF
104,3,1391,5,VGCF
105,3,299,6,VGCF
106,3,750,7,VGCF
107,3,316,8,VGCF
108,3,902,9,VGCF
109,3,269,10,VGCF
110,3,327,11,VGCF
111,3,350,12,VGCF
112,3,752,13,VGCF
113,3,331,14,VGCF
114,3,349,15,VGCF
115,3,307,16,VGCF
116,3,980,17,VGCF
117,3,348,18,VGCF
118,3,754,19,VGCF
119,3,300,20,VGCF
120,3,334,21,VGCF
121,3,324,22,VGCF
122,3,262,23,VGCF
123,3,358,24,VGCF
124,3,310,25,VGCF
125,3,313,26,VGCF
126,3,539,27,VGCF
127,3,328,28,VGCF
128,3,1017,29,VGCF
