,user_id,movie_id,recommendation_rank,module_source
0,1,174,1,LightGCN
1,1,56,2,LightGCN
2,1,98,3,LightGCN
3,1,69,4,LightGCN
4,1,210,5,LightGCN
5,1,423,6,LightGCN
6,1,100,7,LightGCN
7,1,183,8,LightGCN
8,1,121,9,LightGCN
9,1,96,10,LightGCN
10,1,202,11,LightGCN
11,1,318,12,LightGCN
12,1,64,13,LightGCN
13,1,357,14,LightGCN
14,1,186,15,LightGCN
15,1,97,16,LightGCN
16,1,82,17,LightGCN
17,1,132,18,LightGCN
18,1,196,19,LightGCN
19,1,185,20,LightGCN
20,1,222,21,LightGCN
21,1,228,22,LightGCN
22,1,483,23,LightGCN
23,1,180,24,LightGCN
24,1,143,25,LightGCN
25,1,496,26,LightGCN
26,1,12,27,LightGCN
27,1,405,28,LightGCN
28,1,427,29,LightGCN
29,1,161,30,LightGCN
30,1,70,31,LightGCN
31,1,151,32,LightGCN
32,1,117,33,LightGCN
33,1,265,34,LightGCN
34,1,435,35,LightGCN
35,1,215,36,LightGCN
36,1,385,37,LightGCN
37,1,208,38,LightGCN
38,1,230,39,LightGCN
39,1,175,40,LightGCN
40,1,200,41,LightGCN
41,1,393,42,LightGCN
42,1,403,43,LightGCN
43,1,134,44,LightGCN
44,1,209,45,LightGCN
45,1,23,46,LightGCN
46,1,474,47,LightGCN
47,1,419,48,LightGCN
48,1,118,49,LightGCN
49,1,568,50,LightGCN
50,2,313,1,LightGCN
51,2,328,2,LightGCN
52,2,333,3,LightGCN
53,2,323,4,LightGCN
54,2,245,5,LightGCN
55,2,301,6,LightGCN
56,2,307,7,LightGCN
57,2,50,8,LightGCN
58,2,326,9,LightGCN
59,2,268,10,LightGCN
60,2,322,11,LightGCN
61,2,340,12,LightGCN
62,2,271,13,LightGCN
63,2,327,14,LightGCN
64,2,315,15,LightGCN
65,2,181,16,LightGCN
66,2,321,17,LightGCN
67,2,9,18,LightGCN
68,2,117,19,LightGCN
69,2,319,20,LightGCN
70,2,7,21,LightGCN
71,2,121,22,LightGCN
72,2,257,23,LightGCN
73,2,259,24,LightGCN
74,2,270,25,LightGCN
75,2,332,26,LightGCN
76,2,678,27,LightGCN
77,2,15,28,LightGCN
78,2,303,29,LightGCN
79,2,358,30,LightGCN
80,2,222,31,LightGCN
81,2,346,32,LightGCN
82,2,331,33,LightGCN
83,2,292,34,LightGCN
84,2,343,35,LightGCN
85,2,243,36,LightGCN
86,2,748,37,LightGCN
87,2,475,38,LightGCN
88,2,125,39,LightGCN
89,2,118,40,LightGCN
90,2,405,41,LightGCN
91,2,298,42,LightGCN
92,2,124,43,LightGCN
93,2,324,44,LightGCN
94,2,316,45,LightGCN
95,2,471,46,LightGCN
96,2,151,47,LightGCN
97,2,264,48,LightGCN
98,2,347,49,LightGCN
99,2,508,50,LightGCN
100,3,300,1,LightGCN
101,3,286,2,LightGCN
102,3,294,3,LightGCN
103,3,328,4,LightGCN
104,3,313,5,LightGCN
105,3,269,6,LightGCN
106,3,289,7,LightGCN
107,3,245,8,LightGCN
108,3,307,9,LightGCN
109,3,323,10,LightGCN
110,3,301,11,LightGCN
111,3,272,12,LightGCN
112,3,327,13,LightGCN
113,3,315,14,LightGCN
114,3,304,15,LightGCN
115,3,310,16,LightGCN
116,3,332,17,LightGCN
117,3,270,18,LightGCN
118,3,259,19,LightGCN
119,3,678,20,LightGCN
120,3,331,21,LightGCN
121,3,100,22,LightGCN
122,3,292,23,LightGCN
123,3,358,24,LightGCN
124,3,50,25,LightGCN
125,3,237,26,LightGCN
126,3,748,27,LightGCN
127,3,690,28,LightGCN
128,3,1,29,LightGCN
129,3,276,30,LightGCN
130,3,343,31,LightGCN
131,3,242,32,LightGCN
132,3,9,33,LightGCN
133,3,243,34,LightGCN
134,3,264,35,LightGCN
135,3,257,36,LightGCN
136,3,316,37,LightGCN
137,3,127,38,LightGCN
138,3,117,39,LightGCN
139,3,311,40,LightGCN
140,3,324,41,LightGCN
141,3,7,42,LightGCN
142,3,305,43,LightGCN
143,3,15,44,LightGCN
144,3,275,45,LightGCN
145,3,121,46,LightGCN
146,3,682,47,LightGCN
147,3,306,48,LightGCN
148,3,312,49,LightGCN
149,3,255,50,LightGCN
150,4,286,1,LightGCN
151,4,288,2,LightGCN
152,4,294,3,LightGCN
153,4,313,4,LightGCN
154,4,302,5,LightGCN
155,4,269,6,LightGCN
156,4,289,7,LightGCN
157,4,333,8,LightGCN
158,4,245,9,LightGCN
159,4,323,10,LightGCN
160,4,307,11,LightGCN
161,4,326,12,LightGCN
162,4,272,13,LightGCN
163,4,322,14,LightGCN
164,4,268,15,LightGCN
165,4,340,16,LightGCN
166,4,315,17,LightGCN
167,4,304,18,LightGCN
168,4,100,19,LightGCN
169,4,310,20,LightGCN
170,4,321,21,LightGCN
171,4,332,22,LightGCN
172,4,50,23,LightGCN
173,4,259,24,LightGCN
174,4,270,25,LightGCN
175,4,319,26,LightGCN
176,4,303,27,LightGCN
177,4,678,28,LightGCN
178,4,1,29,LightGCN
179,4,237,30,LightGCN
180,4,331,31,LightGCN
181,4,346,32,LightGCN
182,4,276,33,LightGCN
183,4,292,34,LightGCN
184,4,9,35,LightGCN
185,4,127,36,LightGCN
186,4,181,37,LightGCN
187,4,257,38,LightGCN
188,4,117,39,LightGCN
189,4,748,40,LightGCN
190,4,343,41,LightGCN
191,4,7,42,LightGCN
192,4,242,43,LightGCN
193,4,121,44,LightGCN
194,4,690,45,LightGCN
195,4,15,46,LightGCN
196,4,243,47,LightGCN
197,4,275,48,LightGCN
198,4,316,49,LightGCN
199,4,264,50,LightGCN
200,5,56,1,LightGCN
201,5,98,2,LightGCN
202,5,69,3,LightGCN
203,5,173,4,LightGCN
204,5,423,5,LightGCN
205,5,79,6,LightGCN
206,5,195,7,LightGCN
207,5,96,8,LightGCN
208,5,89,9,LightGCN
209,5,176,10,LightGCN
210,5,202,11,LightGCN
211,5,234,12,LightGCN
212,5,28,13,LightGCN
213,5,82,14,LightGCN
214,5,191,15,LightGCN
215,5,64,16,LightGCN
216,5,318,17,LightGCN
217,5,22,18,LightGCN
218,5,238,19,LightGCN
219,5,97,20,LightGCN
220,5,132,21,LightGCN
221,5,357,22,LightGCN
222,5,196,23,LightGCN
223,5,1,24,LightGCN
224,5,144,25,LightGCN
225,5,143,26,LightGCN
226,5,153,27,LightGCN
227,5,197,28,LightGCN
228,5,185,29,LightGCN
229,5,161,30,LightGCN
230,5,180,31,LightGCN
231,5,483,32,LightGCN
232,5,496,33,LightGCN
233,5,100,34,LightGCN
234,5,179,35,LightGCN
235,5,265,36,LightGCN
236,5,88,37,LightGCN
237,5,215,38,LightGCN
238,5,71,39,LightGCN
239,5,211,40,LightGCN
240,5,12,41,LightGCN
241,5,385,42,LightGCN
242,5,187,43,LightGCN
243,5,435,44,LightGCN
244,5,4,45,LightGCN
245,5,11,46,LightGCN
246,5,182,47,LightGCN
247,5,393,48,LightGCN
248,5,403,49,LightGCN
249,5,230,50,LightGCN
250,6,100,1,LightGCN
251,6,181,2,LightGCN
252,6,294,3,LightGCN
253,6,286,4,LightGCN
254,6,258,5,LightGCN
255,6,288,6,LightGCN
256,6,300,7,LightGCN
257,6,121,8,LightGCN
258,6,117,9,LightGCN
259,6,222,10,LightGCN
260,6,56,11,LightGCN
261,6,98,12,LightGCN
262,6,313,13,LightGCN
263,6,276,14,LightGCN
264,6,15,15,LightGCN
265,6,151,16,LightGCN
266,6,172,17,LightGCN
267,6,269,18,LightGCN
268,6,25,19,LightGCN
269,6,118,20,LightGCN
270,6,275,21,LightGCN
271,6,204,22,LightGCN
272,6,210,23,LightGCN
273,6,328,24,LightGCN
274,6,318,25,LightGCN
275,6,69,26,LightGCN
276,6,125,27,LightGCN
277,6,282,28,LightGCN
278,6,96,29,LightGCN
279,6,273,30,LightGCN
280,6,289,31,LightGCN
281,6,475,32,LightGCN
282,6,183,33,LightGCN
283,6,195,34,LightGCN
284,6,176,35,LightGCN
285,6,423,36,LightGCN
286,6,323,37,LightGCN
287,6,546,38,LightGCN
288,6,357,39,LightGCN
289,6,28,40,LightGCN
290,6,234,41,LightGCN
291,6,333,42,LightGCN
292,6,11,43,LightGCN
293,6,245,44,LightGCN
294,6,271,45,LightGCN
295,6,471,46,LightGCN
296,6,197,47,LightGCN
297,6,70,48,LightGCN
298,6,301,49,LightGCN
299,6,235,50,LightGCN
300,7,174,1,LightGCN
301,7,168,2,LightGCN
302,7,172,3,LightGCN
303,7,210,4,LightGCN
304,7,423,5,LightGCN
305,7,195,6,LightGCN
306,7,79,7,LightGCN
307,7,183,8,LightGCN
308,7,89,9,LightGCN
309,7,176,10,LightGCN
310,7,28,11,LightGCN
311,7,82,12,LightGCN
312,7,181,13,LightGCN
313,7,191,14,LightGCN
314,7,22,15,LightGCN
315,7,196,16,LightGCN
316,7,228,17,LightGCN
317,7,153,18,LightGCN
318,7,161,19,LightGCN
319,7,185,20,LightGCN
320,7,496,21,LightGCN
321,7,483,22,LightGCN
322,7,95,23,LightGCN
323,7,88,24,LightGCN
324,7,385,25,LightGCN
325,7,208,26,LightGCN
326,7,393,27,LightGCN
327,7,435,28,LightGCN
328,7,182,29,LightGCN
329,7,1,30,LightGCN
330,7,121,31,LightGCN
331,7,8,32,LightGCN
332,7,200,33,LightGCN
333,7,133,34,LightGCN
334,7,209,35,LightGCN
335,7,432,36,LightGCN
336,7,451,37,LightGCN
337,7,203,38,LightGCN
338,7,83,39,LightGCN
339,7,222,40,LightGCN
340,7,188,41,LightGCN
341,7,127,42,LightGCN
342,7,227,43,LightGCN
343,7,154,44,LightGCN
344,7,66,45,LightGCN
345,7,226,46,LightGCN
346,7,151,47,LightGCN
347,7,431,48,LightGCN
348,7,58,49,LightGCN
349,7,7,50,LightGCN
350,8,50,1,LightGCN
351,8,100,2,LightGCN
352,8,286,3,LightGCN
353,8,294,4,LightGCN
354,8,258,5,LightGCN
355,8,288,6,LightGCN
356,8,1,7,LightGCN
357,8,300,8,LightGCN
358,8,121,9,LightGCN
359,8,127,10,LightGCN
360,8,237,11,LightGCN
361,8,7,12,LightGCN
362,8,117,13,LightGCN
363,8,313,14,LightGCN
