,user_id,movie_id,recommendation_rank,module_source
0,1,100,1,VGCF
1,1,98,2,VGCF
2,1,56,3,VGCF
3,1,318,4,VGCF
4,1,475,5,VGCF
5,1,285,6,VGCF
6,1,276,7,VGCF
7,1,357,8,VGCF
8,1,174,9,VGCF
9,1,70,10,VGCF
10,1,275,11,VGCF
11,1,64,12,VGCF
12,1,12,13,VGCF
13,1,86,14,VGCF
14,1,14,15,VGCF
15,1,286,16,VGCF
16,1,151,17,VGCF
17,1,462,18,VGCF
18,1,185,19,VGCF
19,1,603,20,VGCF
20,1,23,21,VGCF
21,1,582,22,VGCF
22,1,509,23,VGCF
23,1,483,24,VGCF
24,1,427,25,VGCF
25,1,515,26,VGCF
26,1,514,27,VGCF
27,1,248,28,VGCF
28,1,69,29,VGCF
29,1,531,30,VGCF
30,1,170,31,VGCF
31,1,283,32,VGCF
32,1,150,33,VGCF
33,1,134,34,VGCF
34,1,258,35,VGCF
35,1,508,36,VGCF
36,1,527,37,VGCF
37,1,209,38,VGCF
38,1,655,39,VGCF
39,1,433,40,VGCF
40,1,196,41,VGCF
41,1,408,42,VGCF
42,1,129,43,VGCF
43,1,202,44,VGCF
44,1,10,45,VGCF
45,1,479,46,VGCF
46,1,180,47,VGCF
47,1,190,48,VGCF
48,1,97,49,VGCF
49,1,60,50,VGCF
50,2,50,1,VGCF
51,2,9,2,VGCF
52,2,19,3,VGCF
53,2,313,4,VGCF
54,2,268,5,VGCF
55,2,15,6,VGCF
56,2,116,7,VGCF
57,2,124,8,VGCF
58,2,475,9,VGCF
59,2,301,10,VGCF
60,2,319,11,VGCF
61,2,744,12,VGCF
62,2,303,13,VGCF
63,2,936,14,VGCF
64,2,181,15,VGCF
65,2,508,16,VGCF
66,2,245,17,VGCF
67,2,340,18,VGCF
68,2,126,19,VGCF
69,2,248,20,VGCF
70,2,328,21,VGCF
71,2,690,22,VGCF
72,2,20,23,VGCF
73,2,137,24,VGCF
74,2,321,25,VGCF
75,2,333,26,VGCF
76,2,297,27,VGCF
77,2,246,28,VGCF
78,2,315,29,VGCF
79,2,515,30,VGCF
80,2,151,31,VGCF
81,2,257,32,VGCF
82,2,13,33,VGCF
83,2,117,34,VGCF
84,2,845,35,VGCF
85,2,7,36,VGCF
86,2,292,37,VGCF
87,2,270,38,VGCF
88,2,93,39,VGCF
89,2,150,40,VGCF
90,2,740,41,VGCF
91,2,471,42,VGCF
92,2,813,43,VGCF
93,2,676,44,VGCF
94,2,591,45,VGCF
95,2,748,46,VGCF
96,2,125,47,VGCF
97,2,322,48,VGCF
98,2,129,49,VGCF
99,2,221,50,VGCF
100,3,324,1,VGCF
101,3,331,2,VGCF
102,3,286,3,VGCF
103,3,307,4,VGCF
104,3,327,5,VGCF
105,3,334,6,VGCF
106,3,272,7,VGCF
107,3,887,8,VGCF
108,3,315,9,VGCF
109,3,313,10,VGCF
110,3,332,11,VGCF
111,3,270,12,VGCF
112,3,269,13,VGCF
113,3,310,14,VGCF
114,3,299,15,VGCF
115,3,750,16,VGCF
116,3,752,17,VGCF
117,3,902,18,VGCF
118,3,292,19,VGCF
119,3,690,20,VGCF
120,3,328,21,VGCF
121,3,300,22,VGCF
122,3,345,23,VGCF
123,3,350,24,VGCF
124,3,262,25,VGCF
125,3,245,26,VGCF
126,3,1176,27,VGCF
127,3,882,28,VGCF
128,3,305,29,VGCF
129,3,301,30,VGCF
130,3,895,31,VGCF
131,3,316,32,VGCF
132,3,754,33,VGCF
133,3,1022,34,VGCF
134,3,751,35,VGCF
135,3,898,36,VGCF
136,3,899,37,VGCF
137,3,682,38,VGCF
138,3,879,39,VGCF
139,3,343,40,VGCF
140,3,311,41,VGCF
141,3,359,42,VGCF
142,3,330,43,VGCF
143,3,880,44,VGCF
144,3,896,45,VGCF
145,3,264,46,VGCF
146,3,937,47,VGCF
147,3,289,48,VGCF
148,3,689,49,VGCF
149,3,748,50,VGCF
150,4,288,1,VGCF
151,4,331,2,VGCF
152,4,307,3,VGCF
153,4,346,4,VGCF
154,4,302,5,VGCF
155,4,333,6,VGCF
156,4,350,7,VGCF
157,4,332,8,VGCF
158,4,334,9,VGCF
159,4,299,10,VGCF
160,4,895,11,VGCF
161,4,752,12,VGCF
162,4,682,13,VGCF
163,4,313,14,VGCF
164,4,340,15,VGCF
165,4,343,16,VGCF
166,4,347,17,VGCF
167,4,272,18,VGCF
168,4,355,19,VGCF
169,4,326,20,VGCF
170,4,270,21,VGCF
171,4,268,22,VGCF
172,4,245,23,VGCF
173,4,310,24,VGCF
174,4,887,25,VGCF
175,4,315,26,VGCF
176,4,879,27,VGCF
177,4,264,28,VGCF
178,4,292,29,VGCF
179,4,330,30,VGCF
180,4,751,31,VGCF
181,4,260,32,VGCF
182,4,689,33,VGCF
183,4,691,34,VGCF
184,4,872,35,VGCF
185,4,690,36,VGCF
186,4,881,37,VGCF
187,4,286,38,VGCF
188,4,1238,39,VGCF
189,4,754,40,VGCF
190,4,750,41,VGCF
191,4,908,42,VGCF
192,4,353,43,VGCF
193,4,902,44,VGCF
194,4,748,45,VGCF
195,4,1025,46,VGCF
196,4,349,47,VGCF
197,4,322,48,VGCF
198,4,342,49,VGCF
199,4,351,50,VGCF
200,5,96,1,VGCF
201,5,195,2,VGCF
202,5,79,3,VGCF
203,5,82,4,VGCF
204,5,176,5,VGCF
205,5,230,6,VGCF
206,5,98,7,VGCF
207,5,89,8,VGCF
208,5,22,9,VGCF
209,5,56,10,VGCF
210,5,173,11,VGCF
211,5,568,12,VGCF
212,5,265,13,VGCF
213,5,385,14,VGCF
214,5,227,15,VGCF
215,5,28,16,VGCF
216,5,234,17,VGCF
217,5,423,18,VGCF
218,5,144,19,VGCF
219,5,403,20,VGCF
220,5,69,21,VGCF
221,5,202,22,VGCF
222,5,62,23,VGCF
223,5,132,24,VGCF
224,5,161,25,VGCF
225,5,550,26,VGCF
226,5,71,27,VGCF
227,5,566,28,VGCF
228,5,164,29,VGCF
229,5,185,30,VGCF
230,5,588,31,VGCF
231,5,177,32,VGCF
232,5,97,33,VGCF
233,5,64,34,VGCF
234,5,496,35,VGCF
235,5,318,36,VGCF
236,5,684,37,VGCF
237,5,196,38,VGCF
238,5,11,39,VGCF
239,5,435,40,VGCF
240,5,94,41,VGCF
241,5,211,42,VGCF
242,5,655,43,VGCF
243,5,576,44,VGCF
244,5,199,45,VGCF
245,5,222,46,VGCF
246,5,91,47,VGCF
247,5,651,48,VGCF
248,5,68,49,VGCF
249,5,184,50,VGCF
250,6,483,1,VGCF
251,6,286,2,VGCF
252,6,197,3,VGCF
253,6,318,4,VGCF
254,6,357,5,VGCF
255,6,134,6,VGCF
256,6,603,7,VGCF
257,6,511,8,VGCF
258,6,479,9,VGCF
259,6,480,10,VGCF
260,6,100,11,VGCF
261,6,211,12,VGCF
262,6,98,13,VGCF
263,6,498,14,VGCF
264,6,199,15,VGCF
265,6,190,16,VGCF
266,6,86,17,VGCF
267,6,478,18,VGCF
268,6,133,19,VGCF
269,6,172,20,VGCF
270,6,705,21,VGCF
271,6,213,22,VGCF
272,6,484,23,VGCF
273,6,135,24,VGCF
274,6,179,25,VGCF
275,6,238,26,VGCF
276,6,606,27,VGCF
277,6,657,28,VGCF
278,6,269,29,VGCF
279,6,654,30,VGCF
280,6,659,31,VGCF
281,6,515,32,VGCF
282,6,509,33,VGCF
283,6,69,34,VGCF
284,6,528,35,VGCF
285,6,187,36,VGCF
286,6,663,37,VGCF
287,6,275,38,VGCF
288,6,432,39,VGCF
289,6,661,40,VGCF
290,6,70,41,VGCF
291,6,607,42,VGCF
292,6,423,43,VGCF
293,6,204,44,VGCF
294,6,83,45,VGCF
295,6,97,46,VGCF
296,6,181,47,VGCF
297,6,208,48,VGCF
298,6,582,49,VGCF
299,6,523,50,VGCF
300,7,174,1,VGCF
301,7,183,2,VGCF
302,7,172,3,VGCF
303,7,185,4,VGCF
304,7,89,5,VGCF
305,7,176,6,VGCF
306,7,79,7,VGCF
307,7,195,8,VGCF
308,7,210,9,VGCF
309,7,182,10,VGCF
310,7,208,11,VGCF
311,7,177,12,VGCF
312,7,200,13,VGCF
313,7,228,14,VGCF
314,7,423,15,VGCF
315,7,483,16,VGCF
316,7,191,17,VGCF
317,7,511,18,VGCF
318,7,188,19,VGCF
319,7,28,20,VGCF
320,7,657,21,VGCF
321,7,209,22,VGCF
322,7,153,23,VGCF
323,7,435,24,VGCF
324,7,22,25,VGCF
325,7,203,26,VGCF
326,7,196,27,VGCF
327,7,82,28,VGCF
328,7,496,29,VGCF
329,7,684,30,VGCF
330,7,218,31,VGCF
331,7,480,32,VGCF
332,7,431,33,VGCF
333,7,432,34,VGCF
334,7,193,35,VGCF
335,7,484,36,VGCF
336,7,184,37,VGCF
337,7,385,38,VGCF
338,7,526,39,VGCF
339,7,448,40,VGCF
340,7,479,41,VGCF
341,7,205,42,VGCF
342,7,154,43,VGCF
343,7,498,44,VGCF
344,7,430,45,VGCF
345,7,227,46,VGCF
346,7,136,47,VGCF
347,7,53,48,VGCF
348,7,161,49,VGCF
349,7,519,50,VGCF
350,8,183,1,VGCF
351,8,172,2,VGCF
352,8,176,3,VGCF
353,8,50,4,VGCF
354,8,79,5,VGCF
355,8,210,6,VGCF
356,8,56,7,VGCF
357,8,89,8,VGCF
358,8,98,9,VGCF
359,8,230,10,VGCF
360,8,22,11,VGCF
361,8,265,12,VGCF
362,8,234,13,VGCF
363,8,144,14,VGCF
364,8,550,15,VGCF
365,8,385,16,VGCF
366,8,568,17,VGCF
367,8,226,18,VGCF
368,8,188,19,VGCF
369,8,135,20,VGCF
370,8,62,21,VGCF
371,8,64,22,VGCF
372,8,204,23,VGCF
373,8,180,24,VGCF
374,8,185,25,VGCF
375,8,186,26,VGCF
376,8,12,27,VGCF
377,8,423,28,VGCF
378,8,173,29,VGCF
379,8,28,30,VGCF
380,8,164,31,VGCF
381,8,182,32,VGCF
382,8,651,33,VGCF
383,8,318,34,VGCF
384,8,184,35,VGCF
385,8,203,36,VGCF
386,8,194,37,VGCF
387,8,69,38,VGCF
388,8,429,39,VGCF
389,8,7,40,VGCF
390,8,202,41,VGCF
391,8,127,42,VGCF
392,8,449,43,VGCF
393,8,576,44,VGCF
394,8,357,45,VGCF
395,8,31,46,VGCF
396,8,199,47,VGCF
397,8,526,48,VGCF
398,8,161,49,VGCF
399,8,68,50,VGCF
400,9,174,1,VGCF
401,9,127,2,VGCF
402,9,100,3,VGCF
403,9,181,4,VGCF
404,9,98,5,VGCF
405,9,172,6,VGCF
406,9,56,7,VGCF
407,9,318,8,VGCF
408,9,1,9,VGCF
409,9,258,10,VGCF
410,9,357,11,VGCF
411,9,79,12,VGCF
412,9,515,13,VGCF
413,9,286,14,VGCF
414,9,173,15,VGCF
415,9,89,16,VGCF
416,9,64,17,VGCF
417,9,176,18,VGCF
418,9,183,19,VGCF
419,9,603,20,VGCF
420,9,191,21,VGCF
421,9,210,22,VGCF
422,9,12,23,VGCF
423,9,427,24,VGCF
424,9,185,25,VGCF
425,9,96,26,VGCF
426,9,195,27,VGCF
427,9,187,28,VGCF
428,9,9,29,VGCF
429,9,194,30,VGCF
430,9,22,31,VGCF
431,9,180,32,VGCF
432,9,135,33,VGCF
433,9,288,34,VGCF
434,9,197,35,VGCF
435,9,69,36,VGCF
436,9,151,37,VGCF
437,9,204,38,VGCF
438,9,179,39,VGCF
439,9,134,40,VGCF
440,9,423,41,VGCF
441,9,132,42,VGCF
442,9,480,43,VGCF
443,9,234,44,VGCF
444,9,222,45,VGCF
445,9,302,46,VGCF
446,9,211,47,VGCF
447,9,237,48,VGCF
448,9,313,49,VGCF
449,9,496,50,VGCF
450,10,483,1,VGCF
451,10,318,2,VGCF
452,10,603,3,VGCF
453,10,427,4,VGCF
454,10,127,5,VGCF
455,10,98,6,VGCF
456,10,191,7,VGCF
457,10,100,8,VGCF
458,10,56,9,VGCF
459,10,514,10,VGCF
460,10,187,11,VGCF
461,10,194,12,VGCF
462,10,657,13,VGCF
463,10,135,14,VGCF
464,10,172,15,VGCF
465,10,199,16,VGCF
466,10,173,17,VGCF
467,10,89,18,VGCF
468,10,132,19,VGCF
469,10,190,20,VGCF
470,10,496,21,VGCF
471,10,64,22,VGCF
472,10,498,23,VGCF
473,10,86,24,VGCF
474,10,175,25,VGCF
475,10,528,26,VGCF
476,10,515,27,VGCF
477,10,435,28,VGCF
478,10,183,29,VGCF
479,10,209,30,VGCF
480,10,79,31,VGCF
481,10,523,32,VGCF
482,10,204,33,VGCF
483,10,97,34,VGCF
484,10,519,35,VGCF
485,10,423,36,VGCF
486,10,208,37,VGCF
487,10,133,38,VGCF
488,10,661,39,VGCF
489,10,507,40,VGCF
490,10,176,41,VGCF
491,10,517,42,VGCF
492,10,210,43,VGCF
493,10,181,44,VGCF
494,10,8,45,VGCF
495,10,196,46,VGCF
496,10,488,47,VGCF
497,10,509,48,VGCF
498,10,213,49,VGCF
499,10,659,50,VGCF
500,11,50,1,VGCF
501,11,1,2,VGCF
502,11,181,3,VGCF
503,11,100,4,VGCF
504,11,174,5,VGCF
505,11,275,6,VGCF
506,11,313,7,VGCF
507,11,172,8,VGCF
508,11,127,9,VGCF
509,11,216,10,VGCF
510,11,204,11,VGCF
511,11,210,12,VGCF
512,11,151,13,VGCF
513,11,191,14,VGCF
514,11,97,15,VGCF
515,11,202,16,VGCF
516,11,132,17,VGCF
517,11,496,18,VGCF
518,11,143,19,VGCF
519,11,22,20,VGCF
520,11,269,21,VGCF
521,11,64,22,VGCF
522,11,95,23,VGCF
523,11,294,24,VGCF
524,11,111,25,VGCF
525,11,288,26,VGCF
526,11,197,27,VGCF
527,11,300,28,VGCF
528,11,9,29,VGCF
529,11,588,30,VGCF
530,11,283,31,VGCF
531,11,153,32,VGCF
532,11,194,33,VGCF
533,11,655,34,VGCF
534,11,483,35,VGCF
535,11,660,36,VGCF
536,11,272,37,VGCF
537,11,66,38,VGCF
538,11,419,39,VGCF
539,11,71,40,VGCF
540,11,257,41,VGCF
541,11,215,42,VGCF
542,11,7,43,VGCF
543,11,82,44,VGCF
544,11,117,45,VGCF
545,11,96,46,VGCF
546,11,133,47,VGCF
547,11,732,48,VGCF
548,11,268,49,VGCF
549,11,582,50,VGCF
550,12,50,1,VGCF
551,12,1,2,VGCF
552,12,181,3,VGCF
553,12,100,4,VGCF
554,12,318,5,VGCF
555,12,173,6,VGCF
556,12,79,7,VGCF
557,12,172,8,VGCF
558,12,56,9,VGCF
559,12,204,10,VGCF
560,12,64,11,VGCF
561,12,210,12,VGCF
562,12,151,13,VGCF
563,12,423,14,VGCF
564,12,237,15,VGCF
565,12,357,16,VGCF
566,12,28,17,VGCF
567,12,15,18,VGCF
568,12,191,19,VGCF
569,12,196,20,VGCF
570,12,496,21,VGCF
571,12,97,22,VGCF
572,12,96,23,VGCF
573,12,7,24,VGCF
574,12,132,25,VGCF
575,12,8,26,VGCF
576,12,22,27,VGCF
577,12,70,28,VGCF
578,12,427,29,VGCF
579,12,153,30,VGCF
580,12,117,31,VGCF
581,12,194,32,VGCF
582,12,89,33,VGCF
583,12,483,34,VGCF
584,12,143,35,VGCF
585,12,655,36,VGCF
586,12,121,37,VGCF
587,12,176,38,VGCF
588,12,211,39,VGCF
589,12,197,40,VGCF
590,12,186,41,VGCF
591,12,183,42,VGCF
592,12,9,43,VGCF
593,12,185,44,VGCF
594,12,82,45,VGCF
595,12,111,46,VGCF
596,12,12,47,VGCF
597,12,208,48,VGCF
598,12,222,49,VGCF
599,12,275,50,VGCF
600,13,56,1,VGCF
601,13,98,2,VGCF
602,13,185,3,VGCF
603,13,173,4,VGCF
604,13,318,5,VGCF
605,13,302,6,VGCF
606,13,258,7,VGCF
607,13,210,8,VGCF
608,13,272,9,VGCF
609,13,186,10,VGCF
610,13,64,11,VGCF
611,13,97,12,VGCF
612,13,11,13,VGCF
613,13,423,14,VGCF
614,13,208,15,VGCF
615,13,483,16,VGCF
616,13,180,17,VGCF
617,13,195,18,VGCF
618,13,268,19,VGCF
619,13,153,20,VGCF
620,13,238,21,VGCF
621,13,443,22,VGCF
622,13,315,23,VGCF
623,13,196,24,VGCF
624,13,134,25,VGCF
625,13,203,26,VGCF
626,13,496,27,VGCF
627,13,447,28,VGCF
628,13,181,29,VGCF
629,13,480,30,VGCF
630,13,144,31,VGCF
631,13,198,32,VGCF
632,13,269,33,VGCF
633,13,100,34,VGCF
634,13,479,35,VGCF
635,13,215,36,VGCF
636,13,651,37,VGCF
637,13,192,38,VGCF
638,13,340,39,VGCF
639,13,47,40,VGCF
640,13,178,41,VGCF
641,13,133,42,VGCF
642,13,271,43,VGCF
643,13,270,44,VGCF
644,13,436,45,VGCF
645,13,588,46,VGCF
646,13,190,47,VGCF
647,13,300,48,VGCF
648,13,265,49,VGCF
649,13,526,50,VGCF
650,14,50,1,VGCF
651,14,100,2,VGCF
652,14,98,3,VGCF
653,14,174,4,VGCF
654,14,318,5,VGCF
655,14,357,6,VGCF
656,14,286,7,VGCF
657,14,56,8,VGCF
658,14,9,9,VGCF
659,14,515,10,VGCF
660,14,483,11,VGCF
661,14,603,12,VGCF
662,14,23,13,VGCF
663,14,179,14,VGCF
664,14,181,15,VGCF
