,user_id,movie_id,recommendation_rank,module_source
0,1,1196,1,VGCF
1,1,1198,2,VGCF
2,1,593,3,VGCF
3,1,1210,4,VGCF
4,1,589,5,VGCF
5,1,318,6,VGCF
6,1,527,7,VGCF
7,1,480,8,VGCF
8,1,110,9,VGCF
9,1,1097,10,VGCF
10,1,1580,11,VGCF
11,1,1617,12,VGCF
12,1,356,13,VGCF
13,1,1265,14,VGCF
14,1,296,15,VGCF
15,1,858,16,VGCF
16,1,457,17,VGCF
17,1,1259,18,VGCF
18,1,1240,19,VGCF
19,1,1214,20,VGCF
20,1,1200,21,VGCF
21,1,1193,22,VGCF
22,1,50,23,VGCF
23,1,1136,24,VGCF
24,1,1291,25,VGCF
25,1,648,26,VGCF
26,1,1036,27,VGCF
27,1,1610,28,VGCF
28,1,1213,29,VGCF
29,1,1221,30,VGCF
30,2,260,1,VGCF
31,2,1197,2,VGCF
32,2,527,3,VGCF
33,2,480,4,VGCF
34,2,110,5,VGCF
35,2,608,6,VGCF
36,2,1270,7,VGCF
37,2,1097,8,VGCF
38,2,1617,9,VGCF
39,2,1580,10,VGCF
40,2,296,11,VGCF
41,2,1265,12,VGCF
42,2,858,13,VGCF
43,2,1,14,VGCF
44,2,1240,15,VGCF
45,2,1214,16,VGCF
46,2,1200,17,VGCF
47,2,919,18,VGCF
48,2,50,19,VGCF
49,2,1136,20,VGCF
50,2,648,21,VGCF
51,2,1036,22,VGCF
52,2,1291,23,VGCF
53,2,1610,24,VGCF
54,2,1221,25,VGCF
55,2,541,26,VGCF
56,2,908,27,VGCF
57,2,34,28,VGCF
58,2,1387,29,VGCF
59,2,924,30,VGCF
60,3,589,1,VGCF
61,3,318,2,VGCF
62,3,527,3,VGCF
63,3,110,4,VGCF
64,3,608,5,VGCF
65,3,1270,6,VGCF
66,3,1097,7,VGCF
67,3,1580,8,VGCF
68,3,1617,9,VGCF
69,3,356,10,VGCF
70,3,1,11,VGCF
71,3,296,12,VGCF
72,3,858,13,VGCF
73,3,1240,14,VGCF
74,3,457,15,VGCF
75,3,1214,16,VGCF
76,3,1200,17,VGCF
77,3,919,18,VGCF
78,3,50,19,VGCF
79,3,1193,20,VGCF
80,3,1036,21,VGCF
81,3,1213,22,VGCF
82,3,1610,23,VGCF
83,3,1221,24,VGCF
84,3,541,25,VGCF
85,3,908,26,VGCF
86,3,924,27,VGCF
87,3,1387,28,VGCF
88,3,34,29,VGCF
89,3,750,30,VGCF
90,4,593,1,VGCF
91,4,589,2,VGCF
92,4,1197,3,VGCF
93,4,318,4,VGCF
94,4,527,5,VGCF
95,4,110,6,VGCF
96,4,1270,7,VGCF
97,4,608,8,VGCF
98,4,1580,9,VGCF
99,4,1617,10,VGCF
100,4,858,11,VGCF
101,4,356,12,VGCF
102,4,1,13,VGCF
103,4,1265,14,VGCF
104,4,296,15,VGCF
105,4,457,16,VGCF
106,4,1259,17,VGCF
107,4,1200,18,VGCF
108,4,50,19,VGCF
109,4,1193,20,VGCF
110,4,919,21,VGCF
111,4,1036,22,VGCF
112,4,648,23,VGCF
113,4,1136,24,VGCF
114,4,1291,25,VGCF
115,4,1213,26,VGCF
116,4,1221,27,VGCF
117,4,1610,28,VGCF
118,4,541,29,VGCF
119,4,908,30,VGCF
120,5,260,1,VGCF
121,5,1196,2,VGCF
122,5,1198,3,VGCF
123,5,1210,4,VGCF
124,5,589,5,VGCF
125,5,1197,6,VGCF
126,5,527,7,VGCF
127,5,608,8,VGCF
128,5,110,9,VGCF
129,5,480,10,VGCF
130,5,1270,11,VGCF
131,5,1097,12,VGCF
132,5,1265,13,VGCF
133,5,1,14,VGCF
134,5,858,15,VGCF
135,5,1259,16,VGCF
136,5,457,17,VGCF
137,5,1240,18,VGCF
138,5,1214,19,VGCF
139,5,1193,20,VGCF
140,5,1200,21,VGCF
141,5,1136,22,VGCF
142,5,648,23,VGCF
143,5,1610,24,VGCF
